time,BDOT,RAIN,TSKIN,SMELT,SUBLIM
1980-04-15,15.094104341561481,0.0,260.67083333333323,0.13969950231617673,0.0
1980-04-16,1.032698124407547,0.0,256.62916666666655,0.37092597733416893,-0.001214294636890775
1980-04-17,0.11058245228405533,0.0,255.86874999999995,0.6665173201106321,0.0
1980-04-18,2.141666891357719,5.421010862427522e-17,257.6395833333333,0.5759437717629936,-0.012790804941558596
1980-04-19,6.512207054310972,0.0,263.5874999999999,0.40758662674093626,-0.00031739459693001635
1980-04-20,1.976769289215404,0.0,261.2437499999999,0.6495078175085874,-0.0001060154615957599
1980-04-21,3.7960327380431806,0.0,261.5874999999999,0.6223876487994325,-0.021087952941236703
1980-04-22,4.694935431855891,0.0,262.0562499999999,0.5498738753183116,-0.022310002583995982
1980-04-23,0.6954892500579755,0.0,260.7437499999999,0.8239325727896769,-0.008423821522949885
1980-04-24,0.5548192568129242,0.0,260.13958333333323,0.8560356887481289,0.0
1980-04-25,1.2887370268816547,0.0,263.38958333333323,1.0383099852986648,-0.0003087237064768206
1980-04-26,7.392383647896543,0.0,262.63958333333323,0.40385742444467587,-0.001759197997724831
1980-04-27,4.815491724505735,0.0,263.54583333333323,0.9402077838668942,0.0
1980-04-28,0.5084903045601917,8.470329472543003e-19,263.2437499999999,0.949039374894605,-0.02050633342760432
1980-04-29,4.078750569450947,0.0,264.0562499999999,0.5895744141068229,-0.002079109390795663
1980-04-30,0.1851999905763054,5.293955920339377e-20,261.70208333333323,1.1645731377861688,0.0
1980-05-01,2.746376179264922,1.3552527156068805e-17,266.23333333333323,1.3370329572337387,-0.013272391883066156
1980-05-02,13.52994528276461,0.0,266.9312499999999,0.3938788722915686,-0.026464874328289492
1980-05-03,0.8480098948771448,4.2351647362715017e-19,264.16041666666655,0.9314022411927847,-0.012700423834335268
1980-05-04,0.005855527719290344,6.6174449004242214e-21,258.2333333333333,1.0151220048156018,0.0
1980-05-05,0.012284224814094512,0.00019327790334124106,264.19166666666655,1.079923578183593,-0.00036240351992597615
1980-05-06,3.6128215728481723,0.0,266.95208333333323,1.1971755663468404,-0.039075146798000254
1980-05-07,0.14972998384746317,3.3881317890172014e-18,265.75416666666655,1.6015330745627618,-0.04249107037892315
1980-05-08,7.427085241342825,4.2351647362715017e-19,267.72291666666655,0.4175690246451137,-0.0025516728633514737
1980-05-09,1.8647596588388875,0.0,265.0249999999999,0.8663161199606869,-0.019180273021081606
1980-05-10,3.3534234332784725,0.0,265.5874999999999,0.8978124278371341,-0.018840821606839194
1980-05-11,0.7150691379804062,0.0,259.23333333333323,1.0396850026480096,-0.0255975527375622
1980-05-12,0.014542543263082445,6.664315710906669e-08,258.4312499999999,1.3410829340865498,-0.003628687451552784
1980-05-13,0.025567752705734935,0.004841581588447729,263.67083333333323,1.2188628668975174,-0.0001097377852078214
1980-05-14,0.9962640732963097,6.776263578034403e-18,262.50416666666655,1.2016794897773262,-0.027120154888087326
1980-05-15,0.2561441525595987,0.0,266.00416666666655,1.4785611451253566,-0.08683124677718149
1980-05-16,0.1030400574270064,0.004814482846494769,266.6499999999999,3.4133914752141314,-0.00020265436275526233
1980-05-17,2.8903431626175715,0.0,267.7124999999999,1.5501295804210111,-0.01811483935332549
1980-05-18,0.27136458647395423,0.0010495508392070313,266.8999999999999,3.423273021610408,-0.0255414321332348
1980-05-19,0.1536076882548991,0.03947726252334089,267.53541666666655,6.056502872936267,0.0
1980-05-20,23.463479588348655,0.5876779639116554,268.00416666666655,1.4408266499795062,-0.011804639435336044
1980-05-21,7.0935101447696525,5.421010862427522e-17,267.66041666666655,0.7536063529746133,-0.037147069330611106
1980-05-22,2.490530035412411,0.0,264.73333333333323,1.0218440941851632,-0.0066238573051065576
1980-05-23,0.21455768339205916,0.02022202520653237,264.67083333333323,1.4201663585538613,-0.006213409839818808
1980-05-24,0.012728069618649557,0.06854662419749745,267.7749999999999,2.9338730191533275,-0.0008954758788728999
1980-05-25,0.0025442704354760324,0.028347912469155658,266.25416666666655,8.215640512435485,-0.00014150973787766224
1980-05-26,0.14058427451875513,0.000968095092463418,267.85833333333323,10.831955493519153,-0.010275175540335442
1980-05-27,3.1150888177789557,0.5942740534902253,271.2749999999999,11.552647447088022,0.0
1980-05-28,1.416526287694087,3.169697880723816,271.3062499999999,9.049834478483167,-0.008762139071568819
1980-05-29,1.2026545676799028,0.08904085311256701,270.1187499999999,9.703968818014184,-0.0008078257431944329
1980-05-30,5.564847855922553,2.370526376165284,268.29583333333323,3.542806131548651,-0.003578703365146649
1980-05-31,3.0840000157449827,0.0,266.98333333333323,1.5337652690374737,-0.03016894613651475
1980-06-01,3.13805742954084,0.0,267.0562499999999,2.28213471077236,-0.000983100228102167
1980-06-02,6.726874291420297,1.0592012111743871,268.45208333333323,1.8563017191632614,-0.005545278663457864
1980-06-03,0.5746840117720876,0.5338750429241645,272.4937499999999,13.23503853038435,-0.01592131311588064
1980-06-04,0.10979596068028069,0.06678371067602575,272.45208333333323,19.230237769217116,0.0
1980-06-05,0.0,0.0005052879557444749,271.94166666666655,22.777049120031005,-0.00014915859868550946
1980-06-06,0.0,0.38878066744655737,271.17083333333323,18.457104119545125,-0.00582465945865365
1980-06-07,0.18171856509898146,4.942294834503312,272.9937499999999,17.38731674779097,-0.016490584665072257
1980-06-08,2.037933129568558,2.8184091048568347,271.04583333333323,6.44935893680008,-0.06205064827982049
1980-06-09,0.11794320795831115,0.28607460359407627,268.60833333333323,14.876382746525566,0.0
