SBD,length,density
0.1,0.1,105.0
0.2,0.1,240.0
0.3,0.1,290.0
0.4,0.1,265.0
0.5,0.1,300.0
0.6,0.1,325.0
0.7,0.1,375.0
0.8,0.1,390.0
0.9,0.1,390.0
1.4,0.52,418.2635765608443
1.79,0.39,427.0559039960573
2.16,0.41,444.45674714309894
2.56,0.4,450.66958339348633
2.89,0.32,489.8582428190069
3.38,0.49,443.8715506359981
3.63,0.32,465.3653306780565
4.1,0.47,512.7877775892582
4.5,0.37,508.3934195743206
4.87,0.37,513.6891843615532
5.29,0.4,533.9454846727175
5.69,0.4,533.9454846727175
6.1,0.42,569.1686249897032
6.52,0.42,550.5073585965982
6.87,0.38,551.7350734908815
7.09,0.22,578.9233778770082
7.27,0.18,609.6013688414308
7.73,0.44,632.362458911809
8.05,0.32,624.5692595942337
8.26,0.24,620.487107570742
8.6,0.34,622.4081202876793
8.87,0.27,653.1443237586759
9.24,0.37,720.2240110636209
9.62,0.38,608.4555016067665
10.03,0.4,602.5256386673784
10.42,0.39,643.0959495470039
10.63,0.23,749.6960933577845
10.88,0.25,611.3430870381205
11.13,0.25,611.3430870381205
11.39,0.33,629.3936210765422
11.81,0.42,718.4587561345435
12.13,0.22,676.8950264408096
12.4,0.27,711.2015969816692
12.59,0.19,742.5219680624947
12.82,0.23,783.7731885104112
13.06,0.24,702.1301480405765
13.35,0.29,716.206534328479
13.64,0.3,705.39586965937
14.01,0.37,704.3367167019235
14.32,0.38,577.5170862708292
14.64,0.32,796.0196445808862
14.97,0.35,772.576428674548
15.19,0.22,676.8950264408096
15.48,0.29,675.6665418193198
15.73,0.24,702.1301480405765
16.04,0.31,720.5656733079585
16.51,0.45,827.316143427656
16.77,0.26,798.8457498279188
