SBD,length,density
0.1,0.1,253.62318840579712
0.2,0.1,222.5672877846791
0.3,0.1,227.7432712215321
0.4,0.1,269.1511387163561
0.5,0.1,341.6149068322981
0.6,0.1,336.4389233954451
0.7,0.1,315.73498964803315
0.8,0.1,326.0869565217391
0.9,0.1,300.2070393374741
1.0,0.1,320.91097308488617
1.95,0.9,426.7209581890015
2.24,0.31,480.37711553863903
2.59,0.35,464.6655331883151
2.91,0.4,475.1624955344367
3.38,0.47,491.94274597993876
3.76,0.32,502.10469888948205
4.14,0.38,525.9530607109338
4.48,0.38,546.5786709348919
4.92,0.44,605.6429183944085
5.33,0.35,604.6250311366028
5.77,0.44,587.8298913828082
