SBD,length,density
0.1,0.1,181.15942028985506
0.2,0.1,186.33540372670805
0.3,0.1,243.2712215320911
0.4,0.1,269.1511387163561
0.5,0.1,258.79917184265014
0.6,0.1,258.79917184265014
0.7,0.1,289.8550724637681
0.8,0.1,326.0869565217391
0.9,0.1,300.2070393374741
1.0,0.1,341.6149068322981
1.1,0.1,320.91097308488617
1.2,0.1,331.26293995859214
1.3,0.1,336.4389233954451
1.4,0.1,362.3188405797101
1.5,0.1,393.37474120082817
1.845,0.44,467.5919590545066
2.32,0.475,379.5112281208306
2.78,0.42,475.8622930241781
3.15,0.37,391.8865942552055
3.505,0.385,508.94362890286425
3.88,0.375,501.6148406466631
3.99,0.17,391.88659425520547
4.61,0.62,464.5752367380259
