SBD,length,density
0.1,0.1,105.0
0.2,0.1,250.0
0.3,0.1,245.0
0.4,0.1,240.0
0.5,0.1,270.0
0.6,0.1,270.0
0.7,0.1,325.0
0.8,0.1,320.0
1.9,0.91,426.33816298093785
2.65,0.74,455.4357717019956
3.35,0.7,453.4687733524521
3.66,0.64,502.10469888948205
3.99,0.33,522.5154590069407
4.81,0.52,523.7715057833996
5.19,0.38,510.48385304296505
5.6,0.41,573.4925769588374
6.05,0.44,578.9233778770082
6.35,0.3,568.235561670048
6.74,0.405,590.2489444337663
7.14,0.4,656.4100453774691
7.475,0.305,610.3151877745004
7.92,0.445,625.2572627442604
8.33,0.47,612.8439293139915
8.66,0.33,617.5182697354753
9.1,0.44,681.3482831937097
9.48,0.38,665.1759297226515
9.84,0.31,669.9996611459965
10.11,0.27,769.2588702046628
10.3,0.19,680.6451373906201
10.585,0.3,744.5845290848905
10.93,0.345,755.3756092165555
