SBD,length,density
0.1,0.1,150.10351966873705
0.2,0.1,243.2712215320911
0.3,0.1,315.73498964803315
0.4,0.1,269.1511387163561
0.5,0.1,326.0869565217391
0.6,0.1,326.0869565217391
0.7,0.1,372.6708074534161
0.8,0.1,434.7826086956522
0.9,0.1,439.95859213250515
1.0,0.1,414.0786749482402
1.8,0.66,377.042405078872
2.544,0.764,474.4700257671008
2.71,0.166,436.74108395911446
3.123,0.495,478.9725040896956
3.59,0.467,406.9914308646138
3.985,0.452,494.1932715165202
4.4,0.415,500.4816745909852
4.822,0.424,475.9943302863935
5.19,0.368,479.20915058381115
5.615,0.39799999999999996,512.0126357103187
6.0,0.385,544.5696829260647
6.39,0.41700000000000004,540.3712031096958
6.75,0.36,495.3011121836625
7.223,0.49700000000000005,492.8151336207312
7.62,0.397,533.0447377778613
8.021,0.35600000000000004,539.3944696209288
8.34,0.319,540.5332334554558
8.722000000000001,0.43,569.6026079290776
9.19,0.46799999999999997,581.968339759333
9.604,0.42200000000000004,589.6871738200365
10.02,0.41600000000000004,565.2210494065464
10.373,0.365,563.6724985862546
10.82,0.447,565.4739447306656
11.253,0.41700000000000004,573.2633632989815
11.67,0.41700000000000004,568.5644832719407
12.043,0.38799999999999996,575.709687436771
12.49,0.447,587.3915394876681
12.882,0.39299999999999996,573.3709712385322
13.31,0.428,595.154874452999
13.705,0.381,534.8583438653724
14.11,0.405,609.6013688414308
14.5,0.426,634.7458921035018
14.95,0.45,627.0185508083288
15.370999999999999,0.38799999999999996,631.2606221894418
15.58,0.209,628.143584093272
15.966,0.439,566.8519074078713
16.4,0.434,586.926926879916
