SBD,length,density
0.1,0.1,180.0
0.2,0.1,195.0
0.3,0.1,290.0
0.4,0.1,195.0
0.5,0.1,250.0
0.6,0.1,250.0
0.7,0.1,275.0
0.8,0.1,305.0
1.42,0.555,356.5814956736554
1.95,0.545,381.1007246885485
2.36,0.43,446.56844461639696
2.81,0.45,431.07525368072606
3.145,0.36,435.42954917245055
3.6,0.455,473.70906997881985
3.95,0.36,489.8582428190069
4.47,0.52,482.32196216025284
4.74,0.43,510.3639367044537
5.15,0.41,487.4686904150118
5.51,0.44,498.764756324807
5.89,0.38,484.70184026301735
6.34,0.53,480.6156344639313
6.68,0.34,461.04305206494763
7.05,0.375,522.5154590069407
7.55,0.5,540.8035000721836
7.92,0.38,525.9530607109338
8.34,0.42,475.8622930241781
8.69,0.34,518.6734335730661
9.05,0.36,598.7156301121195
9.42,0.38,567.2042811588501
9.87,0.45,557.3498229407368
10.19,0.33,558.1415130301411
10.55,0.36,538.8440671009076
10.95,0.42,550.5073585965982
11.35,0.4,499.65540767538704
11.75,0.39,542.6122074302846
12.18,0.43,542.2616827484819
12.44,0.28,559.8379917931508
12.85,0.41,525.7015288789343
13.22,0.34,541.7255861763134
13.71,0.49,591.8287341813309
