SBD,length,density
0.1,0.1,282.8282828282828
0.2,0.1,262.6262626262626
0.3,0.1,303.030303030303
0.4,0.1,297.9797979797979
0.5,0.1,277.77777777777777
0.6,0.1,297.9797979797979
0.7,0.1,313.1313131313131
1.15,0.425,364.2240111313086
1.6,0.451,360.6051809665416
1.81,0.2,382.0894293988253
2.32,0.51,407.2546959907037
2.61,0.345,443.0022369841453
2.93,0.318,437.4834621402451
3.21,0.278,429.94752247423617
3.5,0.295,451.6659052432877
3.86,0.36,457.2010266310731
4.191,0.355,491.2381251931448
4.58,0.389,488.5989671305262
4.995,0.387,460.7452206359651
5.43,0.435,486.4799101099103
5.64,0.22,525.4842968422074
5.99,0.35,487.0590528600411
6.36,0.37,524.2807139360182
6.53,0.16,575.583435312333
6.89,0.364,511.3904732725896
7.27,0.37,503.0976547870881
7.77,0.513,550.016272638885
8.12,0.35,559.8379917931508
8.38,0.26,565.2210494065464
8.44,0.085,714.6167307006688
8.706,0.27,580.5727322299341
8.97,0.264,534.3908103480076
9.235,0.26,535.0759267715305
9.52,0.285,550.016272638885
9.94,0.392,639.8148477636006
10.33,0.39799999999999996,585.8606120146917
10.45,0.125,548.6412319572878
10.82,0.425,640.8498423702772
10.89,0.07,615.8217909724658
11.29,0.359,654.963667278895
11.69,0.402,619.024844159342
12.02,0.325,614.9605017543225
12.37,0.348,647.5137692435148
12.65,0.297,686.1314108171947
13.09,0.44,667.9885129350093
13.43,0.34,656.9863491925504
13.78,0.349,662.5016922939004
14.14,0.37,646.0833040423659
14.51,0.37,656.6748336168308
14.92,0.41,726.4239308145274
15.28,0.36,674.9158012172983
15.7,0.42,718.4587561345435
16.04,0.345,704.2599664876157
16.44,0.401,679.2049451555307
16.78,0.337,680.2779158436059
17.07,0.285,715.0211544305505
17.32,0.25,705.39586965937
17.8,0.47,733.7451126480443
18.23,0.42,769.7772387155823
18.3,0.07,755.7812889207535
18.48,0.184,819.9801021100769
18.88,0.42,797.7691383052397
19.02,0.14,699.7974897414384
19.38,0.37,783.773188510411
19.76,0.37799999999999995,673.8790641954591
19.96,0.225,731.521642609717
20.16,0.205,860.2388654382561
20.46,0.3,705.39586965937
20.71,0.305,706.6807437388951
21.04,0.275,733.8967128779302
21.34,0.3,751.1159723224773
21.6,0.255,737.6688833039162
21.85,0.25,752.4222609699946
22.13,0.285,728.7715612465225
22.28,0.141,750.4211379354999
22.45,0.175,738.9861491669591
22.86,0.38,732.2091629505155
23.01,0.165,783.773188510411
23.07,0.06,816.4304046983448
23.5,0.43,714.5095113862351
23.94,0.43,733.6481590126522
24.45,0.52,666.9608382997246
24.73,0.272,814.0291388021731
25.02,0.285,818.1492055503413
25.39,0.374,817.3035922969526
25.71,0.32,832.7590127923116
25.87,0.165,843.1499452157451
