SBD,length,density
0.32,0.305,597.4664469792477
0.59,0.262,583.3426403035502
0.88,0.294,599.8264197783757
1.11,0.263,610.9258693712329
1.39,0.275,570.0168643712079
1.66,0.275,555.7664427619278
1.92,0.25,587.8298913828082
2.21,0.29,587.8298913828082
2.38,0.16699999999999998,645.322236048991
2.84,0.317,605.7553034228729
3.27,0.429,634.8745524647268
3.51,0.245,671.8055901517808
3.81,0.305,578.1933357863688
4.13,0.32,636.8157156647089
4.39,0.26899999999999996,648.2882321322173
4.67,0.275,634.1437616129688
4.97,0.305,668.1345213531372
5.43,0.265,665.4678015654433
5.89,0.46,638.9455341117482
6.21,0.314,648.9841688302766
6.49,0.285,646.2691203506898
6.74,0.249,653.1443237586758
6.94,0.25,650.5317464636411
7.24,0.3,731.521642609717
7.51,0.27399999999999997,650.7605853507976
7.76,0.245,647.812533360646
8.14,0.37799999999999995,647.9606386494801
8.38,0.243,814.4145271558797
8.64,0.256,688.8631539642283
8.98,0.335,655.0940083072092
9.28,0.304,696.1143450585887
9.58,0.3,783.773188510411
9.81,0.235,683.7170367856776
10.0,0.187,681.0863269141272
10.28,0.28300000000000003,692.3791417936492
10.56,0.282,694.8343869773147
10.9,0.34299999999999997,708.3664385954153
11.27,0.35700000000000004,735.473440198845
11.64,0.375,700.1707150693005
12.0,0.374,675.8472013224801
12.36,0.36,772.8874497810997
12.77,0.425,677.7332865354731
13.18,0.40700000000000003,688.4494223402259
13.58,0.39799999999999996,689.2477788408137
13.97,0.39,703.3861948170355
14.38,0.4,705.3958696593699
14.78,0.4,705.3958696593699
15.1,0.3,705.39586965937
15.42,0.32,869.4983810037372
15.68,0.264,860.9629722273454
15.97,0.294,853.0864636848011
16.26,0.295,863.4789364945206
16.6,0.322,876.2681610675403
16.9,0.297,798.2875068161593
17.05,0.155,809.0561945913921
17.35,0.322,791.0754231859738
17.66,0.308,820.6716016058687
17.85,0.195,803.869936933755
18.13,0.295,763.8467515143835
18.49,0.36,805.5446659690335
18.75,0.257,770.0495334586723
19.0,0.243,741.842935627138
19.34,0.332,790.8554763583965
19.59,0.255,864.7166008919781
19.85,0.252,901.961209000076
20.12,0.27399999999999997,872.4482572834868
20.34,0.221,877.7550414313425
20.6,0.255,899.0339515266479
20.86,0.26,889.2811177329662
