SBD,length,density
0.447,0.444,600.1866758863508
0.85,0.40299999999999997,602.9024527003162
1.2770000000000001,0.43200000000000005,616.858527994305
1.61,0.33299999999999996,600.1866758863508
1.9980000000000002,0.376,614.9284324749235
2.37,0.37200000000000005,626.8078590909872
2.798,0.41600000000000004,612.3228035237587
3.2,0.402,575.1569418173414
3.483,0.317,611.9364799884124
3.76,0.27699999999999997,608.3438105766728
4.183,0.44799999999999995,551.0905231713828
4.66,0.47700000000000004,690.1147571789782
5.024,0.38799999999999996,616.1103672568953
5.41,0.386,558.3876343014587
5.827999999999999,0.433,638.0601592376903
6.28,0.452,632.9141898369469
6.615,0.298,644.3772858558747
7.09,0.475,684.7702594354117
7.5120000000000005,0.42700000000000005,637.8482037643275
7.97,0.45799999999999996,633.1792134254413
8.42,0.44799999999999995,747.9085671611623
8.84,0.42,765.1119221173061
9.26,0.41,822.0060269743335
9.65,0.39,763.6764400870671
10.05,0.405,754.7445518989142
10.5,0.45,792.48177949386
10.935,0.45,792.48177949386
11.37,0.435,855.8442863044719
11.755,0.385,875.3830417129266
12.2,0.445,836.611830432461
12.58,0.42200000000000004,831.1338906597366
13.08,0.5,760.2599928550987
13.556,0.47,817.1252390853219
13.94,0.384,826.6357847570741
14.322000000000001,0.37200000000000005,853.3014552331086
14.562999999999999,0.24100000000000002,878.0861448041949
14.8,0.237,760.6237694404832
15.053999999999998,0.258,767.0648453444913
15.325999999999999,0.272,835.6405318677175
15.62,0.294,859.7512016823385
15.935,0.32,796.0196445808862
16.3,0.365,826.7196645931732
16.658,0.355,877.6051899517981
17.0,0.342,882.3177706915445
17.235,0.249,912.8282115181494
17.53,0.295,843.5524994984931
17.79,0.26,844.0634337804426
18.090999999999998,0.308,820.6716016058687
18.401,0.31,897.5467158748256
18.71,0.309,849.721741588957
19.007,0.3,875.2133938366256
19.312,0.305,918.6849668605637
19.61,0.298,867.9367523773008
19.87,0.265,857.7140553510159
20.183,0.313,882.6838624598078
20.45,0.267,873.3053317672184
20.69,0.231,907.6161382101081
20.88,0.19,897.214044742181
21.09,0.21,895.7407868690411
21.418000000000003,0.235,883.8293402351442
21.628,0.21,905.0714200655937
21.84,0.212,905.7756187974089
22.230999999999998,0.381,884.5734148542696
22.56,0.32899999999999996,875.4913275914166
