SBD,length,density
0.1,0.1,248.4472049689441
0.2,0.1,367.49482401656314
0.3,0.1,331.26293995859214
0.4,0.1,351.96687370600415
0.5,0.1,351.96687370600415
0.6,0.1,388.19875776397515
0.7,0.1,351.96687370600415
0.945,0.24,440.87241853710617
1.5,0.555,353.05098581550044
1.86,0.36,435.42954917245055
2.32,0.485,432.2872740753297
2.49,0.18,435.42954917245055
3.09,0.6,463.73246986865985
3.44,0.385,452.9598297235492
3.83,0.39,512.4670847952688
4.56,0.725,513.506571782683
4.61,0.05,470.2639131062466
4.96,0.35,515.0509524496987
5.26,0.3,496.3896860565937
5.55,0.315,497.6337704828006
5.82,0.27,449.94386747819897
6.04,0.22,570.016864371208
6.46,0.41,530.4806336869245
6.86,0.4,602.5256386673784
7.255,0.405,537.029777312689
7.69,0.435,621.6132184737743
8.08,0.41,621.2836250387404
8.51,0.43,628.8412791537017
9.035,0.49,639.8148477636008
9.34,0.305,642.437039762632
9.72,0.39,622.99920112366
10.15,0.43,637.954920880567
10.527999999999999,0.373,688.1654671237523
10.88,0.35200000000000004,634.5890872882588
11.275,0.42700000000000005,624.0816957694138
11.68,0.405,696.6872786759209
12.015999999999998,0.321,726.3941544605834
12.35,0.33399999999999996,803.719512170107
12.655999999999999,0.308,712.52108046401
13.050999999999998,0.395,758.9702395069169
13.357999999999999,0.307,663.7818534615859
13.64,0.282,847.697952112324
13.918,0.317,735.5600112992028
14.33,0.41200000000000003,732.4094115934665
14.527999999999999,0.175,727.7893893310959
14.7,0.172,877.1880162107798
15.078,0.386,725.9039245918963
15.48,0.402,701.8864374720099
15.844000000000001,0.40299999999999997,700.1447837810123
16.16,0.316,768.8914191083145
16.496,0.336,769.7772387155823
16.88,0.384,755.1981243459688
