SBD,length,density
0.1,0.1,502.07039337474123
0.2,0.1,502.07039337474123
0.3,0.1,522.7743271221532
0.4,0.1,527.9503105590062
0.5,0.1,533.1262939958592
0.6,0.1,512.4223602484473
0.7,0.1,512.4223602484473
0.8,0.1,533.1262939958592
0.9,0.1,548.6542443064181
1.0,0.1,548.6542443064181
1.265,0.165,593.7675670533416
1.325,0.06,620.487107570742
1.64,0.315,528.7358811379756
1.98,0.34,512.9103954222543
2.38,0.42,550.5073585965982
2.515,0.135,580.5727322299341
2.585,0.07,671.8055901517808
2.89,0.305,507.5252614124792
2.945,0.065,602.9024527003161
3.36,0.415,533.5323512149183
3.53,0.195,673.2410721820198
3.755,0.225,583.4755958910838
3.98,0.225,618.3099598248798
4.21,0.23,587.8298913828082
4.295,0.14,657.8096403569521
4.645,0.35,593.4282713007399
4.84,0.195,592.8540784886443
5.07,0.23,587.8298913828082
5.095,0.14,657.8096403569521
5.435,0.34,587.8298913828081
5.72,0.285,598.1426964947874
6.015,0.315,541.1767254000456
6.32,0.305,558.9202245934898
6.665,0.345,539.5540065832539
7.0,0.335,549.8110426864076
7.28,0.27,566.0584139241857
7.555,0.275,562.8916535665678
7.8,0.245,559.8379917931508
8.06,0.27,573.31557307706
8.32,0.26,572.7573300653003
8.585,0.265,569.344674672657
8.845,0.26,527.5396461127766
9.005,0.16,489.8582428190068
9.315,0.31,606.792145943544
9.67,0.355,579.5505971379799
9.88,0.22,632.362458911809
10.21,0.33,570.016864371208
10.445,0.28,643.8136905621234
10.785,0.34,593.5929295336201
11.07,0.285,570.6418828628431
11.345,0.28,713.7934395362672
11.605,0.26,602.9024527003161
11.82,0.215,628.8412791537017
12.06,0.23,596.349165170965
12.335,0.275,577.142075175848
12.58,0.245,591.8287341813309
12.74,0.18,566.0584139241857
12.975,0.235,591.9988977046721
13.2,0.225,627.0185508083288
13.42,0.22,667.9885129350093
13.645,0.255,737.6688833039162
13.915,0.27,624.1156871471792
14.18,0.265,628.4973681451409
14.465,0.26,640.5838559940859
14.725,0.26,685.8015399466095
14.96,0.235,683.7170367856776
15.28,0.21,699.7974897414384
15.68,0.115,630.4262603235915
15.96,0.275,619.8933400036886
16.255,0.295,624.3616925421918
16.5,0.245,615.8217909724658
16.54,0.08,710.2944520875599
16.825,0.285,625.6435101267316
17.095,0.27,631.3728463000534
17.35,0.255,668.5124254941741
17.64,0.32,698.0479960170848
17.96,0.32,722.5409081580352
18.25,0.29,716.206534328479
18.5,0.305,668.1345213531372
18.83,0.33,647.2066480881424
19.13,0.3,600.8927778579817
19.63,0.245,703.796332539961
19.81,0.18,827.316143427656
20.0,0.19,814.7116038463483
20.535,0.24,824.5947087453283
20.74,0.205,841.1224462062949
20.86,0.29,770.2598576740246
21.105,0.26,761.1643465341491
21.385,0.28,755.7812889207535
21.68,0.295,704.0674405263013
21.93,0.255,745.3529341716654
22.205,0.275,776.6479777057708
22.49,0.285,783.7731885104112
22.59,0.05,744.5845290848905
22.89,0.3,796.8360749855846
22.99,0.115,868.9659263919775
23.215,0.225,853.441916378003
23.37,0.155,783.7731885104112
23.44,0.07,839.7569876897261
23.61,0.195,854.1118079921146
23.8,0.19,876.5884345182229
24.07,0.27,885.3734166506495
24.36,0.29,804.0431847649905
24.54,0.195,834.0150595687708
24.81,0.27,870.8590983449012
25.1,0.29,770.2598576740246
25.28,0.18,859.9733596155899
25.445,0.17,899.0339515266479
25.62,0.175,761.379668838685
25.79,0.17,760.7210359071636
25.97,0.18,740.230233593166
26.225,0.26,753.6280658753951
26.48,0.255,829.8774937169057
26.695,0.215,747.3186216029501
26.9,0.205,755.0985596624691
27.165,0.275,741.0219236825703
27.39,0.225,757.647415560064
27.625,0.235,867.1533149476886
27.8,0.175,884.5440270331783
