SBD,length,density
0.48,0.445,594.4347216230644
0.95,0.47,571.1538660953526
1.545,0.61,616.7395581721266
1.85,0.305,603.890817376874
2.205,0.395,605.191955685254
2.69,0.485,557.529381517715
2.93,0.3,633.5499940459156
3.21,0.28,615.8217909724658
3.56,0.35,627.0185508083288
3.775,0.265,628.4973681451409
4.06,0.285,632.5187135347177
4.33,0.27,667.6586420644243
4.55,0.255,630.0921711554283
4.82,0.27,653.1443237586759
5.1,0.28,629.8177407672946
5.425,0.315,659.3647458897108
5.88,0.455,706.2571588775131
6.37,0.485,678.7314209780878
6.84,0.495,700.6457291229431
7.28,0.44,654.6287426763092
7.81,0.525,634.4830573655707
8.17,0.36,740.230233593166
8.37,0.205,745.5403500464886
8.705,0.335,748.6788666368105
8.99,0.285,763.1475782864528
9.3,0.305,732.3782253294005
9.615,0.315,709.1281229379908
9.85,0.235,683.7170367856776
10.265,0.415,689.3426838706024
10.73,0.465,695.2826672269775
11.04,0.295,704.0674405263013
11.335,0.295,777.1310428450685
11.59,0.255,791.4572393781601
11.875,0.28,804.7671132026542
12.115,0.24,881.7448370742123
12.28,0.165,902.5267019210792
12.555,0.275,897.7765613846525
12.695,0.14,811.7650881000685
12.86,0.165,748.1471344872105
13.01,0.15,744.5845290848905
13.26,0.145,594.5865568010015
13.66,0.4,881.7448370742123
13.915,0.255,860.6136971879023
14.05,0.135,856.3447800391529
14.405,0.37,826.139306808271
14.73,0.325,838.0344092534395
14.86,0.13,783.7731885104109
15.19,0.33,849.0876208862786
15.515,0.325,789.8022130374143
15.79,0.275,790.898399315051
16.17,0.435,765.7554140618959
16.365,0.195,894.3053048388024
16.51,0.145,729.7198651648654
16.66,0.15,757.647415560064
16.955,0.29,783.773188510411
17.23,0.275,783.7731885104109
17.48,0.25,807.2863841657233
17.795,0.32,771.5267324399358
18.065,0.27,798.2875068161594
18.3,0.235,817.1252390853219
18.655,0.35,806.1667081821371
18.96,0.305,860.8656332819269
19.23,0.27,885.3734166506495
19.53,0.295,903.3318104865754
19.86,0.33,884.7136749094791
20.105,0.3,875.2133938366256
20.28,0.175,929.3310663766302
20.63,0.35,875.8161955858673
21.08,0.41,903.2508087101688
21.3,0.245,879.7454156749512
21.62,0.32,857.251924933262
21.885,0.25,854.312775476348
22.11,0.225,914.4020532621462
22.39,0.28,895.7407868690411
22.67,0.285,914.4020532621462
22.945,0.27,885.3734166506495
23.18,0.235,875.4913275914165
23.48,0.3,894.807723549386
23.88,0.39,884.2569306271304
24.08,0.22,952.9969451206136
