SBD,length,density
0.26,0.24,620.487107570742
0.525,0.265,591.5269347248385
0.84,0.315,646.9239016276408
1.475,0.335,596.6034718512083
1.81,0.335,631.6977937248088
2.07,0.26,663.1926979703477
2.535,0.48,644.9800197116924
2.84,0.305,642.437039762632
3.08,0.2,685.8015399466096
3.485,0.405,677.3348542682563
3.79,0.305,623.163928569753
4.195,0.38,629.9185116058175
4.51,0.315,622.7954673459308
4.7,0.19,620.266215044017
4.99,0.3,627.0185508083288
5.3,0.31,644.7166550650155
5.52,0.22,730.3341074756104
5.57,0.05,666.2072102338493
5.78,0.2,724.9901993721302
5.92,0.14,699.7974897414384
6.25,0.33,718.4587561345435
6.58,0.315,752.6710778552359
6.715,0.135,798.2875068161594
6.95,0.235,750.4211379354998
7.32,0.345,778.0936726516398
7.72,0.4,744.5845290848905
8.145,0.445,651.6765837052855
8.5,0.355,717.5388345517847
9.01,0.51,710.7747052667942
9.17,0.16,710.2944520875599
9.43,0.26,738.5555045578872
9.785,0.345,778.0936726516398
10.3,0.515,776.1637400782712
10.565,0.255,729.984832436167
10.68,0.115,817.8502836630377
10.78,0.1,901.3391667869728
11.16,0.38,742.5219680624947
11.455,0.31,783.7731885104112
11.585,0.13,783.7731885104109
12.05,0.465,758.4901824294301
12.51,0.485,824.1738683305352
12.95,0.44,823.8524992865116
13.18,0.22,837.2122695452118
13.285,0.105,783.773188510411
13.72,0.435,828.817624631699
13.97,0.27,682.1729603701726
14.13,0.16,710.2944520875599
14.31,0.18,770.7103020352375
14.63,0.32,753.1570483342231
15.085,0.485,719.1321007982122
15.505,0.42,709.1281229379908
15.54,0.035,727.7893893310959
15.855,0.32,747.0338202989855
16.045,0.19,794.0859936223901
16.28,0.235,767.0971632229553
16.565,0.29,797.2865193467974
16.675,0.11,783.7731885104112
17.0,0.325,813.9183111454269
17.28,0.275,840.7748749475317
17.43,0.15,836.0247344111051
17.82,0.39,854.1118079921146
18.19,0.395,853.2214457201942
18.345,0.155,884.9052128343351
18.73,0.385,952.6670742500279
18.97,0.24,881.7448370742123
19.085,0.115,766.7346409340978
19.225,0.14,839.7569876897261
19.45,0.225,801.190370477309
19.705,0.285,825.0244089583274
19.84,0.135,812.8018251219078
20.19,0.35,862.1505073614521
20.34,0.15,862.1505073614521
20.445,0.155,935.4712249962972
20.775,0.33,878.7759992389457
21.05,0.275,912.0269829939328
21.23,0.17,922.0861041298953
21.375,0.145,824.3131810195702
21.64,0.265,909.4726621394392
21.79,0.15,888.2762803117992
21.87,0.08,955.2235734970634
22.1,0.23,911.5622953327608
22.53,0.425,880.5922294440501
22.72,0.19,928.1524600781183
22.825,0.105,895.7407868690411
23.1,0.275,926.2774046032129
23.3,0.195,894.3053048388024
23.41,0.11,855.025296556812
23.7,0.29,891.8798352015021
23.885,0.25,893.5014349018685
24.005,0.12,881.7448370742123
24.185,0.18,849.0876208862785
24.4,0.215,874.9096057790634
24.765,0.315,914.402053262146
24.895,0.13,904.353679050474
25.24,0.345,891.6839898270617
