SBD,length,density
0.445,0.445,559.2089603416977
0.93,0.48,563.3369792418579
1.32,0.39,612.9508269119881
1.675,0.355,579.5505971379799
1.82,0.175,649.4120704800549
2.135,0.315,597.1605245793608
2.59,0.49,599.8264197783758
2.95,0.37,624.9002448934358
3.36,0.41,640.4000442707018
3.52,0.16,563.3369792418579
3.85,0.33,534.3908103480076
4.15,0.3,607.4242210955686
4.65,0.49,655.8102189576908
4.93,0.28,657.8096403569521
5.25,0.32,759.2802763694606
5.55,0.3,731.521642609717
5.81,0.26,708.4103819228715
5.985,0.175,694.199109823507
6.36,0.355,684.4216575724715
6.65,0.29,648.6398801465471
6.96,0.31,758.4901824294301
7.25,0.3,711.9273128969567
7.54,0.29,628.3698838919674
7.87,0.33,712.52108046401
8.12,0.26,655.6564173115937
8.415,0.295,650.9302752035616
8.755,0.34,633.9341965893029
9.0,0.255,614.7240694199302
9.37,0.37,471.3230660636931
9.64,0.27,805.5446659690336
9.93,0.275,776.6479777057708
10.24,0.31,720.5656733079585
10.545,0.305,725.9538549317741
10.81,0.27,703.9444378287951
11.08,0.27,667.6586420644243
11.34,0.26,678.2652592878557
11.56,0.215,701.7504129686238
11.87,0.31,676.3204126662417
12.22,0.35,727.7893893310959
12.47,0.265,709.8323216698061
12.755,0.285,742.5219680624947
13.05,0.295,757.2046058490412
13.3,0.255,768.4050867749127
13.69,0.39,818.9424982512629
14.05,0.35,727.7893893310959
14.39,0.34,806.8253411136583
14.72,0.34,812.5883792644702
14.97,0.25,783.773188510411
15.24,0.27,747.4873927460402
15.49,0.26,791.3094691691649
15.735,0.245,799.7685597045011
15.995,0.26,874.2085564154584
16.21,0.215,884.0232475059287
16.515,0.305,848.0168924866742
16.84,0.325,789.8022130374143
17.07,0.23,775.2539147222544
17.485,0.415,807.3808146703631
17.71,0.22,712.5210804640101
17.96,0.25,721.0713334295782
18.24,0.28,762.7792638181678
18.53,0.3,751.1159723224773
18.84,0.31,739.5279278686944
19.095,0.255,745.3529341716654
19.33,0.23,758.2153671459412
19.485,0.155,796.4146915509016
19.775,0.29,858.0965081105362
20.06,0.3,868.6819505990388
20.32,0.26,874.2085564154584
20.57,0.25,877.8259711316604
20.76,0.2,891.5420019305925
21.06,0.3,894.807723549386
