SBD,length,density
0.1,0.1,175.98343685300208
0.2,0.1,238.09523809523807
0.3,0.1,232.91925465838509
0.4,0.1,243.2712215320911
0.5,0.1,263.9751552795031
0.6,0.1,269.1511387163561
0.7,0.1,310.5590062111801
0.8,0.1,331.26293995859214
0.9,0.1,279.5031055900621
1.78,0.76,397.04299681119505
2.37,0.58,418.9132559279783
2.98,0.61,462.554668629095
3.38,0.425,447.2117605029992
3.88,0.5,489.8582428190069
4.52,0.64,489.8582428190069
4.805,0.235,483.604733336211
5.26,0.455,521.0799769767018
5.44,0.18,424.54381044313925
5.525,0.13,512.4670847952686
5.855,0.33,498.76475632480697
6.22,0.365,569.0408080965999
6.59,0.36,582.3870220181526
7.01,0.42,569.1686249897032
7.45,0.44,552.2038373596077
7.86,0.41,583.0507865748181
8.35,0.47,591.9988977046721
8.745,0.39,643.0959495470039
9.1,0.355,596.1091856276365
9.53,0.43,574.1594287925103
9.9,0.37,619.6044801062033
10.0,0.1,689.3841766579388
10.35,0.355,645.7849510966062
10.82,0.47,646.1959798889027
11.015,0.24,685.8015399466096
11.235,0.22,650.1754859234092
11.57,0.335,678.4902228896095
11.96,0.42,657.8096403569521
12.08,0.12,702.1301480405765
12.53,0.41,716.8657211985468
12.96,0.43,688.079950378326
13.345,0.355,745.1364820345457
13.68,0.335,649.2449546616091
14.01,0.335,660.9430619528093
14.39,0.38,690.9579425025993
14.665,0.275,712.5210804640099
15.0,0.335,824.7165640296116
15.365,0.35,683.0023499876439
15.75,0.385,681.9844627298381
16.075,0.35,750.182909002822
16.48,0.405,687.0110664720886
16.83,0.325,687.3087960783605
17.24,0.41,697.7493019665854
17.535,0.29,770.2598576740246
17.82,0.285,804.3987987343693
18.15,0.34,812.5883792644702
18.395,0.25,846.4750435912439
18.62,0.225,836.024734411105
18.84,0.245,855.7523588838162
19.26,0.42,746.4506557242009
19.78,0.39,889.2811177329663
19.98,0.2,676.0043750902295
20.22,0.24,751.1159723224772
20.58,0.5,752.4222609699946
20.78,0.2,764.1788587976507
21.08,0.27,841.8304617334045
21.37,0.29,851.3398426923429
21.61,0.24,800.1017966043779
21.86,0.25,775.935456625307
22.11,0.255,783.773188510411
22.36,0.25,791.6109203955152
22.715,0.355,783.7731885104109
23.03,0.315,771.3323442483409
23.295,0.275,790.898399315051
23.54,0.245,815.7639308985911
23.835,0.285,783.7731885104112
24.07,0.235,783.7731885104109
24.2,0.13,768.700627192903
24.505,0.345,795.1322202279532
24.85,0.345,829.2093153805797
