SBD,length,density
0.1,0.1,429.6066252587991
0.3,0.1,377.8467908902691
0.5,0.1,336.4389233954451
0.7,0.1,336.4389233954451
0.9,0.1,341.6149068322981
1.1,0.1,346.79089026915113
1.625,0.13,428.0607414172244
1.8075,0.1825,489.5898273434896
2.2325,0.425,403.87371360889415
2.36,0.1275,454.8958113707483
2.7225,0.3775,420.4346243002867
3.21,0.4875,428.4626763856914
3.615,0.4,445.7710009652962
4.06,0.445,466.7413369781098
4.325,0.2675,461.4739334220177
4.6,0.275,474.5390395890306
4.9,0.3,476.7953563438334
5.17,0.2675,480.5188894045136
5.44,0.27,471.7153449368215
5.72,0.28,482.8602679215925
5.9575,0.26,482.3219621602528
6.24,0.2825,503.556933503149
6.51,0.27,505.0982770400427
6.7875,0.27,508.0011407011924
7.0625,0.275,520.1403887387272
7.34,0.2775,515.4544392906306
7.6175,0.2725,522.0360870262004
7.8925,0.275,534.3908103480074
8.17,0.2775,533.8130905530368
8.415,0.245,532.6458607631978
8.675,0.26,542.6122074302845
8.97,0.295,544.6559445580822
9.23,0.26,535.0759267715305
9.52,0.29,560.8032297100355
9.77,0.25,564.316695727496
9.9525,0.2025,580.572732229934
10.1925,0.24,547.008371147891
10.455,0.2625,526.9941629412857
10.57,0.115,494.1178797130852
10.8425,0.26,572.7573300653003
11.1125,0.27,595.0870505356825
11.36,0.2475,585.850666159297
11.58,0.2175,621.6132184737743
11.94,0.36,636.8157156647089
12.19,0.25,608.207994284079
12.51,0.3175,610.9728004923677
12.6675,0.1575,622.0422131035007
12.78,0.1125,661.8529147421248
12.855,0.08,906.2377492151627
13.1125,0.2575,601.1464261390531
13.39,0.2775,621.3697350352808
13.67,0.28,601.825841177637
13.8825,0.23,575.902908079389
14.15,0.2675,605.0436015977565
14.41,0.26,602.9024527003161
14.6225,0.26,625.5112946765779
14.915,0.2925,633.7174669494434
15.19,0.275,698.2706588547297
15.4475,0.23,673.0226292643747
15.685,0.2375,660.0195271666619
15.87,0.185,656.6748336168308
16.0475,0.1675,643.395901016009
16.2,0.1525,860.8656332819269
16.43,0.23,647.4648078999048
16.635,0.21,634.4830573655709
16.9025,0.2675,644.5985101767866
17.11,0.2075,647.7932618290865
17.29,0.1875,658.3694783487452
17.47,0.18,648.7900282669514
17.64,0.2175,657.6487673708046
17.8525,0.2125,678.655372639603
18.025,0.1725,806.4912519454954
18.15,0.125,658.3694783487452
18.38,0.21,671.8055901517808
18.585,0.205,716.8657211985468
18.84,0.255,699.2486289651706
19.19,0.315,706.6399540855767
19.465,0.2775,717.399603177097
19.6375,0.1725,783.773188510411
19.8525,0.215,789.2413735465301
20.09,0.2375,739.2218704266613
20.2825,0.16,734.7873642285103
20.48,0.1975,724.2461109020253
20.61,0.17,714.6167307006688
20.785,0.175,772.576428674548
20.96,0.175,801.6880042477918
21.14,0.1925,804.1309336665255
21.3525,0.2125,811.4357716343078
21.62,0.2675,805.7481377209832
21.86,0.24,796.8360749855846
22.1075,0.23,834.888831239351
22.3125,0.205,726.4239308145274
22.52,0.2075,717.671835262545
22.7425,0.2125,700.7854391387203
22.95,0.2075,770.5529178608377
23.1775,0.24,649.8786021398824
23.42,0.2425,808.0135964024855
23.7025,0.2675,849.6980361421278
23.94,0.2375,726.0214798833281
24.1575,0.2175,717.1074230509049
24.37,0.2125,792.99404955171
24.56,0.1925,830.5960023694745
24.7875,0.2275,844.0634337804426
24.9725,0.185,836.730836382736
25.21,0.2375,874.525873495827
