SBD,length,density
0.1,0.1,250.0
0.2,0.1,240.0
0.3,0.1,250.0
0.4,0.1,230.0
0.5,0.1,245.0
0.6,0.1,315.0
0.7,0.1,300.0
0.8,0.1,310.0
0.9,0.1,320.0
1.0,0.1,320.0
1.97,0.92,345.03058842034403
2.67,0.67,383.11301378680537
3.47,0.82,425.34032791113776
3.96,0.49,427.8761794419081
4.39,0.43,460.2389072066948
4.77,0.39,472.27358794858105
5.23,0.46,472.8196952426936
5.59,0.355,485.71859569659273
5.99,0.4,484.9596603908168
6.4,0.44,494.31149957190695
6.79,0.39,502.41871058359686
7.23,0.42,513.1848258103881
7.6,0.37,524.2807139360182
7.94,0.345,528.1949748657117
8.39,0.45,439.7838446641751
8.745,0.36,549.7298058302188
9.18,0.435,522.5154590069408
9.355,0.29,493.23657552810346
9.84,0.485,529.2489056436281
10.4,0.48,563.3369792418579
10.65,0.25,548.6412319572878
11.06,0.355,579.5505971379799
11.43,0.37,561.3510674466457
11.73,0.3,509.45257253176715
12.24,0.51,599.3559676844319
12.64,0.38,598.1426964947874
13.0,0.36,587.8298913828082
13.38,0.385,580.1957369492653
13.83,0.45,618.3099598248798
14.18,0.38,613.611904162756
14.57,0.39,612.9508269119881
15.0,0.395,684.5613924964349
15.3,0.3,640.0814372835023
15.585,0.33,694.7080534524097
16.02,0.435,738.7287523891231
16.44,0.4,666.2072102338493
16.82,0.38,690.9579425025993
17.41,0.55,712.5210804640099
17.7,0.35,772.576428674548
18.05,0.35,778.1748085924795
18.44,0.39,763.6764400870671
18.8,0.36,685.8015399466096
19.27,0.42,732.4547059293723
19.5,0.23,766.7346409340978
19.825,0.33,771.8978371693441
20.24,0.415,708.2287847985641
20.55,0.305,880.1387444748058
20.84,0.29,810.7998501831838
21.2,0.36,794.6589272397222
21.49,0.29,810.7998501831838
21.74,0.27,885.3734166506495
22.07,0.33,819.3992425336115
22.425,0.34,760.7210359071636
22.74,0.315,765.111922117306
23.1,0.35,766.9780487566165
23.4,0.3,757.647415560064
