SBD,length,density
0.1,0.1,476.1904761904761
0.2,0.1,502.07039337474123
0.3,0.1,579.7101449275362
0.4,0.1,538.3022774327122
0.5,0.1,527.9503105590062
0.6,0.1,538.3022774327122
0.7,0.1,538.3022774327122
0.8,0.1,533.1262939958592
1.26,0.365,579.7774271172904
1.42,0.16,563.3369792418579
1.85,0.465,556.226133781582
2.25,0.4,627.0185508083288
2.56,0.355,574.0310676414277
2.855,0.295,584.508818550137
3.13,0.275,584.2672859804882
3.365,0.29,614.8565530555811
3.675,0.31,644.7166550650155
3.96,0.285,625.6435101267316
4.22,0.295,650.9302752035616
4.51,0.29,499.9932409462966
4.785,0.275,641.2689724176089
4.97,0.185,614.3087153189708
5.22,0.25,634.856282693433
5.46,0.24,636.8157156647089
5.69,0.23,630.4262603235915
6.005,0.315,646.9239016276408
6.335,0.33,641.268972417609
6.59,0.255,722.300781568418
6.865,0.275,669.7698156361694
7.125,0.26,678.2652592878557
7.415,0.29,662.1532109829335
7.59,0.175,794.9699483462741
7.95,0.36,653.1443237586758
8.27,0.32,655.1853997704217
8.485,0.215,656.1822043342976
8.75,0.265,857.7140553510159
8.955,0.205,774.2149788944305
9.215,0.26,617.9750140178239
9.505,0.29,662.1532109829335
9.75,0.245,655.8102189576908
10.115,0.365,654.9337602621242
10.43,0.315,684.2464344138508
10.715,0.285,756.2723748784667
10.955,0.24,718.4587561345434
11.185,0.23,715.6189982051579
11.455,0.27,812.8018251219078
11.73,0.275,655.5193940268891
11.95,0.22,783.7731885104112
12.34,0.39,773.724814298739
12.665,0.325,699.3668451323668
12.995,0.33,665.0196750997427
13.355,0.36,685.8015399466096
13.72,0.365,697.8802363448865
14.1,0.38,711.5835527265574
14.41,0.31,726.8864248282039
14.655,0.245,743.784760525186
14.995,0.34,737.6688833039162
15.295,0.3,744.5845290848905
15.6,0.305,822.3194108961688
16.0,0.4,842.5561776486918
16.31,0.31,828.0184491521278
16.68,0.37,783.773188510411
17.04,0.36,870.8590983449011
17.295,0.255,722.300781568418
17.565,0.27,718.4587561345435
17.765,0.2,724.9901993721302
18.035,0.27,769.2588702046628
18.285,0.25,752.4222609699946
18.655,0.37,773.1816589359461
18.985,0.33,760.0224858282774
19.365,0.38,845.6500191822855
19.71,0.345,863.2864105332063
20.08,0.39,854.1118079921146
20.415,0.335,889.0561541312125
20.62,0.205,764.6567692784498
