SBD,length,density
0.1,0.1,217.391304347826
0.2,0.1,284.67908902691505
0.3,0.1,289.8550724637681
0.4,0.1,289.8550724637681
0.5,0.1,320.9109730848861
0.6,0.1,326.08695652173907
0.7,0.1,341.6149068322981
0.8,0.1,341.6149068322981
0.9,0.1,351.9668737060041
1.0,0.1,351.9668737060041
1.1,0.1,362.31884057971007
1.4,0.24,375.5579861612386
1.63,0.23,357.80949910257897
1.85,0.22,391.8865942552055
2.09,0.24,416.37950639615576
2.34,0.25,454.5884493360383
2.625,0.285,440.013018111108
2.935,0.31,455.09410945765796
3.225,0.29,472.9665792735238
3.495,0.27,478.97250408969563
3.655,0.16,489.8582428190068
3.915,0.26,497.3945234777607
4.195,0.28,489.8582428190068
4.425,0.23,494.1178797130852
4.645,0.22,516.5777833364073
4.905,0.26,512.4670847952686
5.175,0.27,508.0011407011924
5.435,0.26,520.0033654540226
5.705,0.27,493.486822395444
5.985,0.28,475.8622930241781
6.235,0.25,579.992159497704
6.525,0.29,567.5598951282287
6.895,0.37,571.9425970211107
7.135,0.24,587.8298913828082
7.395,0.26,557.6847687477924
7.635,0.24,604.1584994767751
7.835,0.2,666.2072102338493
8.03,0.195,643.0959495470039
8.24,0.21,615.8217909724658
8.46,0.22,623.4559454060088
8.69,0.23,604.8684389591216
9.05,0.36,609.6013688414308
9.44,0.38,618.7683067187455
9.76,0.3,640.0814372835023
9.86,0.1,587.8298913828082
10.13,0.25,611.3430870381205
10.37,0.24,604.1584994767751
10.62,0.25,611.3430870381205
10.98,0.34,680.0385017957977
11.2,0.2,568.235561670048
11.41,0.21,634.4830573655709
11.63,0.22,926.2774046032132
11.97,0.34,703.0906543990451
12.33,0.35,660.6088303159179
12.7,0.37,635.4917744679009
12.95,0.24,653.1443237586758
13.14,0.19,660.0195271666619
13.4,0.26,648.1201366528398
13.63,0.22,676.8950264408096
13.91,0.28,755.7812889207535
14.16,0.25,642.694014578537
14.55,0.38,670.3323322786409
14.77,0.22,659.0819994292093
14.92,0.15,653.1443237586758
15.12,0.19,783.773188510411
15.39,0.27,682.1729603701726
15.6,0.21,690.4668565448859
15.8,0.19,680.6451373906201
16.1,0.295,717.3517318569864
16.285,0.185,699.0409519146908
16.66,0.375,689.7204058891616
17.0,0.31,695.2826672269775
17.33,0.33,712.52108046401
17.59,0.26,678.2652592878557
18.01,0.395,694.4825720978325
18.24,0.23,715.6189982051579
18.43,0.19,680.6451373906201
18.7,0.23,732.6575457814713
18.91,0.21,765.1119221173061
19.18,0.27,827.3161434276561
19.6,0.4,822.9618479359315
19.895,0.27,682.1729603701726
20.115,0.22,748.1471344872106
20.355,0.24,718.4587561345434
20.585,0.23,732.6575457814713
20.795,0.21,783.773188510411
21.235,0.44,703.6145669582099
21.485,0.25,721.0713334295782
21.765,0.28,727.7893893310959
21.985,0.22,712.5210804640101
22.255,0.27,740.230233593166
22.405,0.15,679.2700967090229
22.765,0.36,718.4587561345434
23.195,0.43,874.9096057790634
23.445,0.25,846.4750435912439
23.655,0.21,877.0795204759362
23.915,0.26,859.1359950979505
24.125,0.21,765.1119221173061
24.315,0.19,886.901239630202
24.55,0.235,817.1252390853219
24.75,0.2,744.5845290848905
24.91,0.11,676.8950264408096
25.21,0.3,770.7103020352375
25.54,0.29,851.3398426923429
25.82,0.28,839.7569876897261
26.14,0.32,808.2661006513613
26.35,0.21,783.773188510411
26.56,0.21,821.0957212966212
26.78,0.22,819.3992425336115
27.08,0.3,744.5845290848905
27.39,0.31,758.4901824294301
27.76,0.27,798.2875068161594
27.99,0.23,749.6960933577845
28.29,0.3,862.1505073614521
