SBD,length,density
1.0,0.265,615.188012113832
1.25,0.25,573.7219739896209
1.5,0.25,603.5053551530165
1.6580000000000001,0.175,611.3430870381206
1.858,0.2,613.3025200093965
2.06,0.20199999999999999,605.290185186258
2.26,0.2,611.3430870381205
2.42,0.17,594.7455371637824
2.57,0.15,613.9556643331553
2.72,0.15,595.6676232679123
2.87,0.15,593.0550459728777
3.02,0.15,619.1808189232247
3.16,0.215,596.032168936987
3.31,0.15,590.442468677843
3.46,0.15,606.1179324480512
3.61,0.15,613.9556643331553
3.76,0.15,600.8927778579817
3.815,0.14,646.6128805210891
4.055,0.24,627.0185508083288
4.255,0.2,609.3836540668445
4.52,0.265,585.6116653775902
4.73,0.24,656.4100453774691
4.88,0.15,606.1179324480512
5.03,0.15,613.9556643331553
5.18,0.15,608.7305097430859
5.33,0.15,613.9556643331553
5.5,0.19,620.8308677411413
5.645,0.145,624.3158846410515
5.79,0.145,613.5052199719424
5.94,0.15,616.56824162819
6.09,0.15,627.0185508083288
6.21,0.18,624.8414030624665
6.36,0.15,624.405973513294
6.51,0.15,579.9921594977042
6.66,0.15,585.2173140877735
6.81,0.15,642.694014578537
6.96,0.15,603.5053551530165
7.14,0.18,629.195698554191
7.29,0.15,606.1179324480512
7.44,0.15,619.1808189232247
7.59,0.15,647.9191691686065
7.725,0.175,671.8055901517808
7.87,0.145,602.6945553028334
8.07,0.2,703.4364366880939
8.28,0.215,586.9185272101217
8.48,0.2,583.9110254402561
8.63,0.15,616.56824162819
8.78,0.15,606.1179324480512
8.93,0.15,660.98205564378
9.09,0.165,700.6457291229432
9.24,0.15,595.6676232679123
9.39,0.15,613.9556643331553
9.54,0.15,606.1179324480512
9.69,0.15,634.856282693433
9.84,0.15,658.3694783487452
9.92,0.135,682.1729603701726
10.07,0.15,621.7933962182594
10.22,0.15,613.9556643331553
10.37,0.15,606.1179324480512
10.52,0.15,624.405973513294
10.67,0.15,663.5946329388147
10.685,0.05,689.7204058891616
10.855,0.17,719.2271612213183
11.0,0.145,778.3678561758564
11.14,0.14,769.7772387155823
11.29,0.15,655.7569010537105
11.44,0.15,713.233601544474
11.46,0.03,692.3329831841963
11.58,0.12,760.9131371788574
11.72,0.14,669.0064001928151
11.87,0.15,624.405973513294
12.01,0.15,619.1808189232247
12.16,0.15,608.7305097430859
12.305,0.145,635.1265493101606
12.435,0.13,681.2797715513573
12.585,0.15,640.0814372835023
12.73,0.145,591.8838906337241
12.845,0.145,675.6665418193198
12.995,0.15,637.4688599884677
13.14,0.145,686.4772064884289
13.34,0.2,742.6250961136144
13.49,0.15,650.5317464636412
13.665,0.185,643.9649981274729
13.81,0.145,640.5318816447152
13.955,0.145,635.1265493101606
14.105,0.15,640.0814372835023
14.25,0.145,672.9638756520425
14.4,0.15,566.9292730225307
14.525,0.18,664.0300624879872
14.67,0.145,632.4238831428834
14.825,0.155,619.4336489840346
14.975,0.15,632.2437053983982
15.12,0.145,675.6665418193198
15.27,0.15,632.2437053983982
15.41,0.13,684.2942838148588
15.545,0.135,751.8416882377646
15.695,0.15,700.1707150693005
15.845,0.15,757.647415560064
15.955,0.11,776.647977705771
16.1,0.145,767.5571915067474
16.235,0.145,767.5571915067474
16.38,0.145,756.7465268376382
16.53,0.15,736.7467971997864
16.675,0.145,762.1518591721928
16.825,0.15,836.0247344111051
16.97,0.145,797.2865193467974
17.108,0.12,724.9901993721302
17.203,0.095,746.6470901072862
17.352999999999998,0.15,755.0348382650293
17.5,0.147,773.109607714351
17.65,0.15,762.8725701501335
17.8,0.15,728.9090653146823
17.87,0.055,798.0236101196913
18.06,0.21,737.1200225276484
18.21,0.15,768.0977247402028
18.355,0.145,818.9078486850157
18.505,0.15,815.1241160508274
18.65,0.145,791.8811870122429
18.78,0.13,777.7441639834077
18.895,0.12,793.5703533667912
19.02,0.125,799.4486522806193
19.165,0.145,759.4491930049155
19.315,0.15,788.9983431004805
19.475,0.16,749.4831115130805
19.68,0.205,795.2430400495878
19.8,0.14,803.3675182231713
19.945,0.145,781.0705223431338
20.09,0.145,797.2865193467974
20.257,0.19,789.9608715775985
20.407,0.15,833.4121571160704
20.557,0.15,836.0247344111051
20.701999999999998,0.145,894.5825013687795
20.846999999999998,0.145,848.6371765250658
20.99,0.14300000000000002,849.5443651686272
21.16,0.14,876.1464571562808
21.3,0.14,895.7407868690411
21.44,0.14,864.9496973204178
21.63,0.19,583.7047693380166
21.63,0.095,754.8973341968696
21.795,0.165,783.773188510411
21.895,0.1,830.7995798210356
22.045,0.15,836.0247344111051
22.19,0.145,848.6371765250658
22.34,0.15,888.2762803117992
22.465,0.15,890.8888576068339
22.61,0.145,781.0705223431338
22.785,0.2,838.6373117061397
22.935,0.15,906.564321377042
23.085,0.15,828.1870025260009
23.235,0.15,799.4486522806193
23.37,0.135,804.0932341384588
23.52,0.15,768.0977247402028
23.705,0.18,818.607552444207
23.855,0.15,809.8989614607581
24.045,0.19,917.8396549661392
24.245,0.2,766.1382917689268
24.39,0.145,745.9358621685292
24.545,0.18,770.7103020352375
24.695,0.15,765.4851474451682
24.875,0.18,755.4702678142016
25.04,0.165,878.7759992389457
25.14,0.1,905.2580327295248
25.325,0.155,917.7731207396104
25.495,0.17,871.3713684027509
25.64,0.145,870.2585058632839
25.79,0.15,875.2133938366256
25.9,0.115,889.4121834835535
26.015,0.115,886.0044739682909
26.16,0.145,872.9611720305612
26.325,0.165,874.0258587025189
26.485,0.16,864.5997985755471
26.63,0.145,899.987833703334
26.76,0.145,851.3398426923429
26.91,0.15,872.6008165415909
