SBD,length,density
0.35,0.1,602.9024527003162
0.87,0.1,565.2210494065464
1.13,0.1,587.8298913828082
1.455,0.1,593.7675670533416
1.73,0.1,627.0185508083287
1.23,0.35,593.4282713007399
1.685,0.455,577.0637761560168
2.13,0.445,625.2572627442604
2.57,0.44,614.5494319002087
2.795,0.26,633.0475753353319
3.035,0.24,604.1584994767751
3.28,0.245,559.8379917931508
3.63,0.38,660.0195271666619
4.13,0.5,556.4789638423919
4.4,0.325,614.9605017543225
4.66,0.26,587.8298913828081
4.95,0.29,594.5865568010015
5.185,0.265,606.3151080929595
5.49,0.305,603.890817376874
5.8,0.31,606.792145943544
6.03,0.275,612.7681291990485
6.325,0.295,597.7931098808219
6.6,0.275,612.7681291990485
6.78,0.23,604.8684389591216
7.07,0.29,621.6132184737743
7.47,0.4,578.0327265264281
7.675,0.28,629.8177407672946
8.0,0.325,627.0185508083288
8.28,0.28,650.8116654595377
8.6,0.355,673.3825985793671
8.745,0.145,864.8531735287294
9.05,0.305,629.5882989673794
9.4,0.355,662.3435395862628
9.885,0.485,694.8916929061375
10.165,0.28,699.7974897414384
10.505,0.34,680.0385017957977
10.735,0.23,673.0226292643747
10.935,0.2,627.0185508083288
11.26,0.325,627.0185508083288
11.53,0.27,653.1443237586759
11.75,0.22,667.9885129350093
12.06,0.31,682.641164186487
12.33,0.27,682.1729603701726
12.57,0.24,653.1443237586758
12.835,0.265,687.6500616176247
13.21,0.375,741.9719517898558
13.475,0.265,672.8618882495037
13.785,0.31,695.2826672269775
14.065,0.28,713.7934395362672
14.39,0.325,711.4248941863731
14.705,0.315,709.1281229379908
14.935,0.23,698.5804506288447
15.235,0.3,705.39586965937
15.515,0.28,720.7914144336816
15.775,0.26,738.5555045578872
16.07,0.295,757.2046058490412
16.375,0.305,796.6219293056637
16.65,0.275,762.3975560964906
16.955,0.305,783.773188510411
17.3,0.345,834.8888312393509
17.51,0.21,783.773188510411
17.785,0.275,826.5244533382515
18.01,0.225,783.773188510411
18.275,0.265,783.773188510411
18.555,0.28,867.7488872793836
18.835,0.28,727.7893893310959
19.21,0.375,736.7467971997863
19.355,0.145,702.6932034920926
19.665,0.31,733.2071763484491
20.025,0.36,734.7873642285103
20.27,0.245,783.7731885104112
20.735,0.465,766.9178511230904
20.91,0.175,884.5440270331783
21.115,0.205,917.5881231341399
21.35,0.235,883.8293402351442
21.695,0.345,874.6454422507485
22.045,0.35,906.9375467049042
22.275,0.23,886.0044739682909
22.55,0.275,897.7765613846525
22.805,0.255,906.718002394397
23.07,0.265,872.5022287191367
23.39,0.32,906.2377492151627
23.695,0.305,873.7143740771794
23.91,0.215,874.9096057790634
24.21,0.3,705.39586965937
24.495,0.285,893.7764430381881
24.685,0.19,804.3987987343693
24.985,0.3,875.2133938366256
25.31,0.325,886.2666054694648
25.51,0.2,901.3391667869728
25.74,0.23,903.043021544604
25.945,0.205,917.5881231341399
26.23,0.285,893.7764430381881
26.61,0.38,892.0576421861915
26.93,0.31,910.1882189153159
