SBD,length,density
1.247,0.26,640.5838559940859
1.53,0.28300000000000003,693.7639000772365
1.732,0.2,656.4100453774691
1.982,0.25,625.451004431308
2.25,0.268,609.7638425538086
2.726000000000001,0.249,673.6042664306344
2.9230000000000005,0.19699999999999998,644.5241448664294
3.1530000000000005,0.23,655.9840816880615
3.4020000000000006,0.249,634.2582228307142
3.6510000000000002,0.249,620.0936471347429
3.99,0.33899999999999997,606.904017651867
4.293,0.297,641.2689724176089
4.553999999999999,0.261,615.6072936576024
4.88,0.326,620.2867565511841
5.06,0.198,645.2274228646312
5.26,0.2,621.1402518945007
5.53,0.27,656.0471874198256
5.9239999999999995,0.20800000000000002,791.309469169165
6.15,0.226,653.7223275850109
6.419,0.19699999999999998,594.7923435650073
6.619,0.2,627.0185508083288
6.818,0.19899999999999998,630.1693977973154
7.07,0.252,760.4466055190297
7.21,0.2,648.5723134923651
7.41,0.2,701.4770037168179
7.61,0.2,642.694014578537
8.052,0.2,634.8562826934328
8.253,0.201,635.5971628218756
8.452,0.19899999999999998,620.3230009567324
8.73,0.278,647.0357797235228
8.923,0.2,693.6392718317137
9.128,0.205,663.3397473490552
9.326,0.198,653.1443237586758
9.58,0.254,661.8872005333982
9.77,0.2,640.7345816072609
9.969,0.19899999999999998,661.6778676871812
10.225,0.256,753.1570483342231
10.46,0.235,703.7282671306242
10.628,0.179,713.715249872609
10.827,0.19899999999999998,687.278499472697
11.075,0.248,692.1222914668549
11.32,0.245,702.1967954205519
11.54,0.2,724.9901993721302
11.741,0.201,736.9807593456104
11.940999999999999,0.2,721.0713334295781
12.18,0.239,716.5457811277188
12.37,0.19699999999999998,728.0735710528184
12.57,0.2,721.0713334295781
12.817,0.247,717.1366016330077
13.1,0.28300000000000003,761.6170559730142
13.345999999999998,0.245,782.1736513910021
13.547,0.201,801.3203494472112
13.75,0.203,862.9226976949599
13.98,0.23,701.9881601441074
14.203,0.22,701.8332642570499
14.419,0.21600000000000003,705.7587276170135
14.623,0.204,701.1696416821079
14.9,0.27699999999999997,803.5797311803492
15.162,0.253,782.224229639837
15.41,0.248,739.5279278686943
15.61,0.2,736.7467971997863
15.83,0.22,735.6780155790904
16.031,0.222,861.4444053898211
16.237,0.20600000000000002,696.264531540802
16.465999999999998,0.22899999999999998,694.7858395965652
16.69,0.22399999999999998,708.5449583632064
16.997,0.225,721.0713334295781
17.217,0.22,698.2706588547298
17.448,0.231,702.3422078859528
17.68,0.23199999999999998,765.1923586103796
17.782,0.2,770.0571577114788
17.992,0.21,735.253895888338
18.2,0.20800000000000002,757.3962062047722
18.455,0.225,846.4750435912439
18.675,0.22,853.2439938556521
18.883,0.20800000000000002,855.3678547685736
19.1,0.217,872.2637097938444
19.307000000000002,0.22399999999999998,881.7448370742123
19.522000000000002,0.215,853.0368656345868
19.732,0.21,856.5521274435206
19.97,0.23800000000000002,854.5762286489565
20.94,0.127,817.7161218710982
21.156,0.22399999999999998,820.5125567218365
21.39,0.23399999999999999,787.1226465809683
21.61,0.22,785.5544912115711
22.73,0.145,816.2051825177383
