SBD,length,density
0.1,0.1,272.7272727272727
0.2,0.1,262.6262626262626
0.3,0.1,282.8282828282828
0.4,0.1,303.030303030303
0.5,0.1,313.1313131313131
0.6,0.1,333.3333333333333
0.7,0.1,348.4848484848485
1.45,0.355,408.445182744862
1.46,0.325,409.97366783621504
1.67,0.21,447.8703934345205
2.08,0.405,454.781973580115
2.52,0.44,445.32567529000625
2.92,0.415,481.5955736630236
3.36,0.44,480.9517293132068
3.785,0.475,495.0146453749964
4.24,0.455,508.1606387045522
4.62,0.38,525.9530607109338
5.02,0.4,538.8440671009076
5.44,0.47,541.9708218423054
5.83,0.39,482.3219621602529
6.33,0.49,495.85650701679066
6.61,0.28,559.8379917931508
7.02,0.405,580.572732229934
7.41,0.39,582.8057042769723
7.815,0.395,595.2707760838564
8.21,0.395,605.191955685254
8.45,0.26,602.9024527003161
8.835,0.405,628.9537932490952
9.3,0.465,606.792145943544
9.49,0.23,681.5419030525313
9.84,0.35,587.8298913828082
10.1,0.26,678.2652592878557
10.62,0.43,683.5231295148933
10.96,0.32,612.3228035237586
11.39,0.43,628.8412791537017
11.845,0.465,716.3518389611285
12.12,0.275,641.2689724176089
12.4,0.3,731.521642609717
12.79,0.39,693.3378206053636
12.9,0.11,641.268972417609
13.14,0.25,705.39586965937
13.38,0.24,685.8015399466096
13.65,0.27,667.6586420644243
14.01,0.38,690.9579425025993
14.375,0.365,697.8802363448865
14.41,0.035,559.8379917931508
14.74,0.32,734.7873642285103
15.07,0.33,748.1471344872105
15.39,0.31,758.4901824294301
15.69,0.3,770.7103020352375
15.875,0.21,802.4344549035161
16.105,0.23,783.7731885104112
16.33,0.225,870.8590983449012
16.59,0.24,800.1017966043779
16.85,0.26,874.2085564154584
17.13,0.29,851.3398426923429
17.44,0.35,716.5926294952329
17.78,0.34,726.1428070022926
17.99,0.21,727.7893893310959
18.27,0.28,797.7691383052397
18.57,0.3,809.8989614607581
18.78,0.21,727.7893893310959
19.125,0.35,772.576428674548
19.25,0.125,689.7204058891617
19.51,0.26,723.4829432403793
19.79,0.28,699.7974897414384
20.08,0.29,729.7198651648654
20.49,0.43,692.6367712417585
20.78,0.29,716.206534328479
20.93,0.15,705.39586965937
21.2,0.3,731.521642609717
21.46,0.26,708.4103819228715
21.73,0.27,711.2015969816692
22.02,0.27,740.230233593166
22.32,0.3,731.521642609717
22.59,0.27,696.687278675921
22.76,0.19,783.773188510411
23.02,0.26,798.8457498279188
23.31,0.29,810.7998501831838
23.67,0.37,826.139306808271
24.03,0.35,862.1505073614521
24.37,0.34,864.4557226217768
