SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
10.0,280,10.0,,990.0,0.0,10.0,0.2828282828282828,0.028282828282828285,0.2828282828282828,0.028282828282828285,,,,0.0,0.2828282828282828,,,,,,P,
20.0,260,10.0,,990.0,10.0,20.0,0.26262626262626265,0.026262626262626262,0.27272727272727276,0.05454545454545455,,,,0.0,0.2626262626262626,,,,,,P,
30.0,300,10.0,,990.0,20.0,30.0,0.30303030303030304,0.030303030303030304,0.2828282828282828,0.08484848484848485,,,,0.0,0.303030303030303,,,,,,P,
40.0,295,10.0,,990.0,30.0,40.0,0.29797979797979796,0.029797979797979796,0.28661616161616166,0.11464646464646465,,,,0.0,0.2979797979797979,,,,,,P,
50.0,275,10.0,,990.0,40.0,50.0,0.2777777777777778,0.027777777777777776,0.28484848484848485,0.14242424242424243,,,,0.0,0.27777777777777773,,,,,,P,
60.0,295,10.0,,990.0,50.0,60.0,0.29797979797979796,0.029797979797979796,0.28703703703703703,0.17222222222222222,,,,0.0,0.2979797979797979,,,,,,P,
70.0,310,10.0,,990.0,60.0,71.25,0.31313131313131315,0.03522727272727273,0.291157185894028,0.20744949494949494,,,,0.0,0.31313131313131315,,,,,,P,
115.0,395,42.5,5.7,1084.4974189732816,71.25,114.95,0.36422401113130864,0.15916589286438187,0.31893465664539083,0.3666153878138768,,,,0.0,0.3642240111313086,,,,,,C,
160.0,415,45.1,5.7,1150.8431434281176,114.95,160.5,0.36060518096654165,0.1642556599302597,0.330760777410677,0.5308710477441365,,,,0.0,0.36060518096654165,,,,,,C,
181.0,195,20.0,5.7,510.3517265756619,160.5,181.0,0.38208942939882534,0.07832833302675919,0.3365742435198319,0.6091993807708957,,,,0.0,0.38208942939882534,,,,,,C,
