SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
35.0,500,10.0,5.7,829.3215556854506,0.0,56.0,0.6029024527003162,0.33762537351217703,0.6029024527003162,0.33762537351217703,,,,0.0,0.6029024527003161,,,,,,P,Core from surface outside of pit as we do not have density wedge. Should have some overlap 
87.0,750,10.0,5.7,1326.9144890967211,56.0,95.0,0.5652210494065464,0.2204362092685531,0.5874332450323475,0.5580615827807301,,,,0.0,0.5652210494065464,,,,,,P,
113.0,450,10.0,5.7,765.5275898634928,95.0,124.25,0.5878298913828083,0.17194024322947143,0.5875266205313493,0.7300018260102016,,,,0.0,0.5878298913828084,,,,,,P,
145.5,500,10.0,5.7,842.0803488498422,124.25,154.25,0.5937675670533417,0.17813027011600252,0.5887404188824661,0.908132096126204,,,,0.0,0.5937675670533418,,,,,,P,
173.0,440,10.0,5.7,701.7336240415352,154.25,130.5,0.6270185508083287,-0.14891690581697806,0.5817740921909778,0.759215190309226,,,,0.0,,,,,,,P, 
123.0,530,35.0,5.7,893.1155215074083,130.5,123.0,0.5934282713007398,-0.04450712034755549,0.5810634715135533,0.7147080699616706,,,,0.0,,,,,,,C,Start of core 
168.5,670,45.5,5.7,1161.050177959631,123.0,168.5,0.5770637761560169,0.2625640181509877,0.5799834350816963,0.9772720881126582,,,,0.0,0.5770637761560169,,,,,,C,
213.0,710,44.5,5.7,1135.532591630848,168.5,213.0,0.6252572627442604,0.27823948192119585,0.5894420516590865,1.2555115700338542,,,,0.0,0.6252572627442604,,,,,,C,
257.0,690,44.0,5.7,1122.7737984664561,213.0,255.25,0.6145494319002087,0.2596471349778382,0.593597925567754,1.5151587050116924,,,,0.0,0.6145494319002088,,,,,,C,
279.5,420,26.0,5.7,663.4572445483606,255.25,279.5,0.6330475753353318,0.15351403701881797,0.5970206590449053,1.6686727420305103,,,,0.0,0.6330475753353317,,,,,,C,
303.5,370,24.0,5.7,612.4220718907943,279.5,303.5,0.6041584994767751,0.14499803987442605,0.5975851011218901,1.8136707819049365,,,,0.0,0.6041584994767752,,,,,,C,
328.0,350,24.5,5.7,625.1808650551858,303.5,326.5,0.5598379917931507,0.12876273811242467,0.5949260398215501,1.942433520017361,,,,0.0,0.5598379917931507,,,,,,C,4 cm long dog scratches
363.0,640,38.0,5.7,969.6682804937576,326.5,363.0,0.6600195271666619,0.24090712741583162,0.6014712527364168,2.1833406474331927,0.0,4.5,0.0,4.5,0.6262722731744738,,,,,,C,4.5 cm ice lens 0 cm from bottom. Ice lens looks yellow
413.0,710,50.0,5.7,1275.8793164391548,363.0,410.25,0.5564789638423918,0.2629363104155301,0.5962893254963371,2.4462769578487227,,,,0.0,0.5564789638423917,383.0,2016.0,,,,C,30 cm from bottom goes from harder to soft - 2016 SS
440.0,510,32.5,5.7,829.3215556854506,410.25,440.0,0.6149605017543225,0.18295074927191096,0.5975517516183259,2.629227707120634,,,,0.0,0.6149605017543225,,,,,,C,
466.0,390,26.0,5.7,663.4572445483606,440.0,466.0,0.5878298913828082,0.15283577175953014,0.5970093302317948,2.782063478880164,,,,0.0,0.5878298913828083,,,,,,C,
495.0,440,29.0,5.7,740.0100035347098,466.0,493.5,0.5945865568010015,0.1635113031202754,0.5968743225938073,2.945574782000439,,,,0.0,0.5945865568010014,,,,,,C,
518.5,410,26.5,5.7,676.216037712752,493.5,518.5,0.6063151080929594,0.15157877702323985,0.5973295195802659,3.097153559023679,,,,0.0,0.6063151080929594,,,,,,C,
549.0,470,30.5,5.7,778.2863830278844,518.5,549.0,0.603890817376874,0.18418669929994658,0.597694036124522,3.2813402583236257,,,,0.0,0.603890817376874,,,,,,C,
580.0,480,31.0,5.7,791.0451761922759,549.0,577.75,0.606792145943544,0.17445274195876892,0.5981467763361998,3.4557930002823944,,,,0.0,0.606792145943544,,,,,,C,
603.0,430,27.5,5.7,701.7336240415352,577.75,603.0,0.6127681291990486,0.15472395262275976,0.5987590303325298,3.6105169529051544,,,,0.0,0.6127681291990486,,,,,,C,
632.5,450,29.5,5.7,752.7687966991014,603.0,632.5,0.5977931098808219,0.1763489674148425,0.5987139794972327,3.786865920319997,,,,0.0,0.597793109880822,,,,,,C,
