SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
16.0,210.0,15.0,5.7,382.7637949317464,0.0,16.0,0.5486412319572878,0.08778259711316604,0.5486412319572878,0.08778259711316604,,,,0.0,0.5486412319572876,0.0,2020.0,,,,C,New snow this fall
33.0,275.0,17.0,5.7,433.79896758931267,16.0,33.0,0.633934196589303,0.1077688134201815,0.592580031919235,0.19555141053334754,,,,0.0,0.633934196589303,,,,,,C,
87.0,785.0,54.0,5.7,1377.949661754287,33.0,86.0,0.5696869935006229,0.30193410655533015,0.5784715314984624,0.4974855170886777,,,,0.0,0.569686993500623,,,,,,C,
115.0,445.0,30.0,5.7,765.5275898634928,86.0,115.0,0.5812984481452215,0.16857654996211424,0.5791844061311234,0.666062067050792,,,,0.0,0.5812984481452216,115.0,2019.0,,,,C,2019 SS @ 115
175.0,885.0,60.0,5.7,1531.0551797269857,115.0,175.5,0.5780327265264281,0.349709799548489,0.5787873883756587,1.015771866599281,,,,0.0,0.578032726526428,,,,,,C,
215.0,605.0,39.0,5.7,995.1858668225407,175.5,215.0,0.6079266398061521,0.2401310227234301,0.5841408787547494,1.255902889322711,,,,0.0,0.6079266398061521,,,,,,C,Weird yellow [layer] @ 215
253.0,590.0,38.0,5.7,969.6682804937576,215.0,252.5,0.6084555016067664,0.2281708131025374,0.5877519613565341,1.4840737024252486,,,,0.0,0.6084555016067664,,,,,,C,
274.0,440.0,22.0,5.7,561.3868992332281,252.5,274.0,0.7837731885104111,0.16851123552973837,0.6031331890346668,1.652584937954987,,,,0.0,0.783773188510411,,,,,,C,
301.5,430.0,27.5,5.7,701.7336240415352,274.0,301.5,0.6127681291990486,0.16851123552973835,0.6040119978390466,1.8210961734847255,,,,0.0,0.6127681291990484,,,,,,C,
333.0,510.0,31.5,5.7,803.8039693566676,301.5,332.75,0.6344830573655708,0.19827595542674087,0.6068736675917256,2.0193721289114666,,,,0.0,0.6344830573655708,,,,,,C,
353.5,410.0,21.0,5.7,535.869312904445,332.75,353.5,0.765111922117306,0.158760723839341,0.616162051697541,2.1781328527508075,10.0,9.0,10.0,9.0,0.6617933943773703,334.0,2018.0,,,,C,"2018 SS @ 334? No dirt, but it is yellow on top of ice lens."
379.0,390.0,25.5,5.0,500.69132916587324,353.5,379.0,0.7789230156026878,0.1986253689786854,0.6271129872637184,2.3767582217294927,,,,0.0,0.7789230156026878,,,,,,C,
407.0,500.0,28.0,4.8,506.6760631709618,379.0,406.5,0.9868238038932003,0.2713765460706301,0.6514476673555037,2.648134767800123,0.0,7.0,0.0,7.0,1.0164709564420982,,,,,,C,
431.5,395.0,25.5,5.3,562.5767774507752,406.5,431.5,0.7021263867127221,0.1755315966781805,0.6543838619880193,2.8236663644783033,,,,0.0,0.702126386712722,,,,,,C,
456.0,365.0,24.5,5.7,625.1808650551858,431.5,455.0,0.5838310485842858,0.13720029641730716,0.6507399254715628,2.9608666608956105,,,,0.0,0.5838310485842858,433.0,,,,,C,"Possible surface, or @ 467"
476.5,,22.5,5.7,574.1456923976197,455.0,476.5,,,,,,,,0.0,,467.0,,,,,C,"Mass not measured, rotten dry eaten mess. Possible surface @ 467 or @433"
502.5,400.0,26.0,5.7,663.4572445483606,476.5,502.5,0.6029024527003161,0.15675463770208217,0.6204221489746652,3.1176212985976925,,,,0.0,0.602902452700316,,,,,,C,
547.0,700.0,44.5,5.7,1135.532591630848,502.5,543.0,0.6164508224239187,0.2496625830816871,0.6201259450606592,3.3672838816793798,,,,0.0,0.6164508224239187,,,,,,C,2019 ss @533 cm 9cm from top of core dirty layer
585.0,780.0,46.0,5.7,1173.8089711240223,543.0,585.0,0.6645033554762181,0.2790914093000116,0.6233120155520326,3.646375290979391,,,,0.0,0.6645033554762182,,,,,,C,
