SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
44.5,635,44.5,5.7,1135.532591630848,0.0,44.75,0.5592089603416976,0.25024600975290967,0.5592089603416975,0.25024600975290967,,,,0.0,0.5592089603416975,0.0,2022.0,,,,C,dog scratches bottom 16cm
93.0,690,48.0,5.7,1224.8441437815886,44.75,93.0,0.5633369792418579,0.2718100924841964,0.5613506475667807,0.5220561022371061,,,,0.0,0.5633369792418579,,,,,,C,
132.0,610,39.0,5.7,995.1858668225407,93.0,132.0,0.6129508269119881,0.23905082249567536,0.5765961551005919,0.7611069247327814,,,,0.0,0.6129508269119881,,,,,,C,
167.5,525,35.5,5.7,905.8743146718,132.0,166.0,0.57955059713798,0.19704720302691317,0.5772012817829486,0.9581541277596946,,,,0.0,0.5795505971379799,,,,,,C,
182.0,290,17.5,5.7,446.55776075370414,166.0,182.0,0.6494120704800549,0.10390593127680878,0.5835494829870896,1.0620600590365032,,,,0.0,0.6494120704800548,,,,,,C,some internal ice
213.5,480,31.5,5.7,803.8039693566676,182.0,211.75,0.5971605245793608,0.17765525606235982,0.5854617780868303,1.2397153150988631,0,1,,1.0,0.5866269776082081,210.0,2021.0,,,,C,
259.0,750,49.0,5.7,1250.3617301103716,211.75,258.5,0.5998264197783758,0.2804188512463907,0.58805963881828,1.520134166345254,,,,0.0,0.5998264197783758,,,,,,C,
295.0,590,37.0,5.7,944.1506941649745,258.5,295.0,0.6249002448934358,0.22808858938610407,0.5926178832987653,1.7482227557313579,0,4,,4.0,0.5910418134957048,,,,,,C,
336.0,670,41.0,5.7,1046.2210394801068,295.0,336.0,0.6404000442707017,0.26256401815098773,0.5984484446078411,2.0107867738823457,"38.5,6,0.5","2.5,1,1.5",0.5,5.0,0.6043444948638549,,,,,,C,
352.0,230,16.0,5.7,408.28138126052954,336.0,352.0,0.5633369792418579,0.09013391667869726,0.5968524689093871,2.100920690561043,,,,0.0,0.5633369792418579,,,,,,C,
385.0,450,33.0,5.7,842.0803488498422,352.0,385.0,0.5343908103480075,0.1763489674148425,0.5914986124612689,2.2772696579758853,,,,0.0,0.5343908103480076,,,,,,C,dog scratches bottom 22cm
415.0,465,30.0,5.7,765.5275898634928,385.0,415.5,0.6074242210955686,0.18526438743414844,0.5926676402912235,2.4625340454100337,0.5,2.5,,2.5,0.5813013836933871,,,,,,C,
465.0,820,49.0,5.7,1250.3617301103716,415.5,465.0,0.6558102189576909,0.324626058384057,0.5993892696331378,2.7871601037940907,35,1,,1.0,0.6507753781114577,,,,,,C,
493.0,470,28.0,5.7,714.4924172059267,465.0,493.0,0.6578096403569521,0.1841866992999466,0.6027072622908798,2.9713468030940375,12,3,,3.0,0.6287467971997864,493.0,2020.0,,,,C,dirt at break
525.0,620,32.0,5.7,816.5627625210591,493.0,525.0,0.7592802763694606,0.2429696884382274,0.61225076029186,3.214316491532265,22,2,,2.0,0.749898961460758,,,,,,C,discontinuous ice in lower
555.0,560,30.0,5.7,765.5275898634928,525.0,555.0,0.731521642609717,0.2194564927829151,0.6186978350117441,3.43377298431518,8,0.5,,0.5,0.7286660772302207,,,,,,C,
581.0,470,26.0,5.7,663.4572445483606,555.0,581.0,0.7084103819228714,0.18418669929994658,0.622712510088662,3.617959683615126,13,2,,2.0,0.6924445804164441,,,,,,C,
598.5,310,17.5,5.7,446.55776075370414,581.0,599.5,0.694199109823507,0.1284268353173488,0.6249185185875689,3.746386518932475,,,,0.0,0.694199109823507,,,,,,C,
636.0,620,35.5,5.7,905.8743146718,599.5,636.0,0.6844216575724715,0.24981390501395212,0.6283333999915766,3.9962004239464273,29.5,3,,3.0,0.6651161343700063,,,,,,C,big grains below ice lens
665.0,480,29.0,5.7,740.0100035347098,636.0,665.0,0.648639880146547,0.18810556524249866,0.6292189457426955,4.184305989188926,18,3,,3.0,0.6196367893942256,,,,,,C,broken upper 7cm
696.0,600,31.0,5.7,791.0451761922759,665.0,695.5,0.7584901824294301,0.23133950564097616,0.6348879216146517,4.415645494829902,"10,0","6,3",,9.0,0.6992535146091915,,,,,,C,
725.0,545,30.0,5.7,765.5275898634928,695.5,725.0,0.7119273128969567,0.2100185573046022,0.6380226278806213,4.625664052134504,"21,15","1,1.5",,2.5,0.6945131752022304,,,,,,C,
754.0,465,29.0,5.7,740.0100035347098,725.0,754.0,0.6283698838919675,0.1822272663286706,0.6376513684964422,4.807891318463175,,,,0.0,0.6283698838919676,,,,,,C,
787.0,600,33.0,5.7,842.0803488498422,754.0,786.5,0.71252108046401,0.23156935115080324,0.6407451582471682,5.039460669613978,18.5,6,,6.0,0.6700730232105782,,,,,,C,
812.0,435,26.0,5.7,663.4572445483606,786.5,812.0,0.6556564173115937,0.1671923864144564,0.6412134305453736,5.206653056028434,,,,0.0,0.6556564173115939,,,,,,C,
841.5,490,29.5,5.7,752.7687966991014,812.0,841.5,0.6509302752035616,0.19202443118505066,0.6415540685934027,5.398677487213484,,,,0.0,0.6509302752035617,,,,,,C,
875.5,550,34.0,5.7,867.5979351786253,841.5,875.0,0.633934196589303,0.2123679558574165,0.6412623363509601,5.611045443070901,,,,0.0,0.633934196589303,,,,,,C,
900.0,400,25.5,5.7,650.698451383969,875.0,900.0,0.6147240694199302,0.15368101735498255,0.6405251622695426,5.764726460425884,,,,0.0,0.6147240694199302,,,,,,C,dog scratches
937.0,445,37.0,5.7,944.1506941649745,900.0,937.0,0.4713230660636931,0.17438953444356645,0.6338437561226734,5.93911599486945,,,,0.0,0.47132306606369306,,,,,,C,"diagonal break section 1, missing ice? Mini crevase?"
964.0,555,27.0,5.7,688.9748308771435,937.0,964.75,0.8055446659690336,0.22353864480640684,0.6387825488132529,6.162654639675857,,,,0.0,0.8055446659690335,,,,,,C,diagonal break section 2
993.0,545,27.5,5.7,701.7336240415352,964.75,993.0,0.7766479777057708,0.21940305370188024,0.6427047022535486,6.382057693377737,,,,0.0,0.7766479777057708,,,,,,C,discontinuous ice
1024.0,570,31.0,5.7,791.0451761922759,993.0,1024.0,0.7205656733079585,0.22337535872546713,0.6450618214944536,6.605433052103204,,,,0.0,0.7205656733079585,,,,,,C,
1054.5,565,30.5,5.7,778.2863830278844,1024.0,1054.25,0.7259538549317741,0.21960104111686168,0.6473828876661196,6.825034093220066,6,4.5,,4.5,0.6955380237548027,,,,,,C,
1081.0,485,27.0,5.7,688.9748308771435,1054.25,1081.0,0.7039444378287951,0.1883051371192027,0.6487825374966947,7.013339230339269,,,,0.0,0.7039444378287951,,,,,,C,discontinuous ice
1108.0,460,27.0,5.7,688.9748308771435,1081.0,1108.0,0.6676586420644243,0.18026783335739455,0.6492425147740671,7.193607063696663,,,,0.0,0.6676586420644243,,,,,,C,
1134.0,450,26.0,5.7,663.4572445483606,1108.0,1134.25,0.6782652592878556,0.1780446305630621,0.6499141894873022,7.371651694259725,,,,0.0,0.6782652592878555,,,,,,C,
1156.0,385,21.5,5.7,548.6281060688366,1134.25,1156.0,0.7017504129686237,0.15263071482067567,0.6508894817543599,7.524282409080401,9.5,3,,3.0,0.6700304790436036,,,,,,C,
1187.0,535,31.0,5.7,791.0451761922759,1156.0,1187.0,0.6763204126662418,0.20965932792653494,0.6515536425448135,7.733941737006936,,,,0.0,0.6763204126662418,,,,,,C,a bit missing at the top
1222.0,650,35.0,5.7,893.1155215074083,1187.0,1221.25,0.7277893893310959,0.24926786584590035,0.6536916767945005,7.9832096028528365,,,,0.0,0.7277893893310959,,,,,,C,
1247.0,480,26.5,5.7,676.216037712752,1221.25,1247.0,0.7098323216698061,0.1827818228299751,0.6548509563498647,8.165991425682812,20.5,1,,1.0,0.7021487791110105,,,,,,C,dog stratches
1275.5,540,28.5,5.7,727.2512103703182,1247.0,1275.5,0.7425219680624947,0.21161876089781098,0.6568098931070656,8.377610186580622,,,,0.0,0.7425219680624947,1261.5,,,,,C,small bits of ice throughout; dirt at 14cm
1305.0,570,29.5,5.7,752.7687966991014,1275.5,1304.75,0.7572046058490411,0.22148234721084453,0.6590605505875813,8.599092533791467,,,,0.0,0.7572046058490411,,,,,,C,
1330.0,500,25.5,5.7,650.698451383969,1304.75,1330.0,0.7684050867749127,0.19402228441066544,0.661136452496401,8.793114818202133,7.5,3,,3.0,0.750661952407485,,,,,,C,
1369.0,815,39.0,5.7,995.1858668225407,1330.0,1369.5,0.8189424982512629,0.32348228680924884,0.6656879959847668,9.116597105011381,15,12,,12.0,0.783571952033632,,,,,,C,
1405.0,650,35.0,5.7,893.1155215074083,1369.5,1405.0,0.7277893893310959,0.25836523321253907,0.6672571059234107,9.37496233822392,,,,0.0,0.727789389331096,,,,,,C,
1439.0,700,34.0,5.7,867.5979351786253,1405.0,1438.5,0.8068253411136583,0.2702864892730755,0.6705073915534929,9.645248827496996,0,19,,19.0,0.6847344087798313,,,,,,C,
1472.0,705,34.0,5.7,867.5979351786253,1438.5,1472.0,0.8125883792644701,0.27221710705359753,0.6737408922928392,9.917465934550593,0,34,,34.0,,,,,,,C,icy entire
1497.0,500,25.0,5.7,637.9396582195774,1472.0,1497.0,0.783773188510411,0.19594329712760275,0.6755784389898595,10.113409231678196,19.5,5.5,,5.5,0.7509912673210398,,,,,,C,
1524.0,515,27.0,5.7,688.9748308771435,1497.0,1523.5,0.7474873927460401,0.19808415907770066,0.6768292347066555,10.311493390755896,"20,9.5","0.5,0.5",,1.0,0.7415065061870614,1516.0,,,,,C,dirt at 8cm above SBD? (1516cm below surface)
1549.0,525,26.0,5.7,663.4572445483606,1523.5,1549.0,0.7913094691691649,0.20178391463813702,0.678713835080312,10.513277305394032,,,,0.0,0.7913094691691648,,,,,,C,
1573.5,500,24.5,5.7,625.1808650551858,1549.0,1573.5,0.7997685597045011,0.19594329712760278,0.6805987036874251,10.709220602521635,,,,0.0,0.7997685597045012,,,,,,C,entire drive was bubbly ice with discrete ice layers within
1599.5,580,26.0,5.7,663.4572445483606,1573.5,1599.5,0.8742085564154584,0.22729422466801918,0.6837458472766273,10.936514827189654,,,,0.0,0.8742085564154584,,,,,,C,entire drive was bubbly ice with discrete ice layers within
1621.0,485,21.5,5.7,548.6281060688366,1599.5,1621.0,0.8840232475059286,0.19006499821377468,0.6864022100804089,11.126579825403429,,,,0.0,0.8840232475059288,,,,,,C,entire drive was bubbly ice with discrete ice layers within
