SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
32,465,30.5,5.7,778.2863830278844,0.0,32.4,0.5974664469792478,0.1935791288212763,0.5974664469792479,0.1935791288212763,,,,0.0,0.5974664469792479,0.0,2018.0,,,,C,
59,390,26.2,5.7,668.5607618141171,32.4,58.8,0.5833426403035502,0.15400245704013726,0.5911251460228122,0.3475815858614135,,,,0.0,0.5833426403035503,,,,,,C,
88,450,29.4,5.7,750.217038066223,58.8,86.35,0.5998264197783757,0.16525217864894248,0.5939012906894685,0.512833764510356,,,,0.0,0.5998264197783757,,,,,,C,
111,410,26.3,5.7,671.1125204469954,86.35,111.25,0.6109258693712329,0.15212054147343704,0.5977117357157691,0.664954305983793,,,,0.0,0.6109258693712329,,,,,,C,
139,400,27.5,5.7,701.7336240415352,111.25,138.75,0.5700168643712079,0.15675463770208217,0.5922226621159461,0.8217089436858752,,,,0.0,0.5700168643712078,,,,,,C,
166,390,27.5,5.7,701.7336240415352,138.75,166.5,0.5557664427619278,0.15422518786643497,0.5861466255569431,0.9759341315523102,,,,0.0,0.5557664427619278,164.0,2017.0,,,,C,2017
192,375,25.0,5.7,637.9396582195774,166.5,192.0,0.5878298913828083,0.1498966223026161,0.5863701842994409,1.1258307538549264,,,,0.0,0.5878298913828083,,,,,,C,
221,435,29.0,5.7,740.0100035347098,192.0,221.15,0.5878298913828083,0.17135241333808865,0.5865625897323151,1.297183167193015,,,,0.0,0.5878298913828084,,,,,,C,
238,275,16.7,5.7,426.1436916906777,221.15,245.15,0.6453222360489911,0.15487733665175785,0.5923151147643373,1.452060503844773,,,,0.0,0.6453222360489911,,,,,,C,
284,490,31.7,5.7,808.9074866224241,245.15,284.05,0.6057553034228729,0.23563881303149758,0.594155717963834,1.6876993168762704,,,,0.0,0.6057553034228729,,,,,,C,
327,695,42.9,5.7,1094.7044535047949,284.05,326.75,0.6348745524647268,0.2710914339024383,0.5994768938878986,1.9587907507787086,,,,0.0,0.6348745524647268,,,,,,C,
351,420,24.5,5.7,625.1808650551858,326.75,350.75,0.6718055901517809,0.1612333416364274,0.6044259707527115,2.120024092415136,,,,0.0,0.671805590151781,,,,,,C,
381,450,30.5,5.7,778.2863830278844,350.75,381.0,0.5781933357863688,0.17490348407537656,0.6023431959292683,2.2949275764905126,,,,0.0,0.5781933357863689,,,,,,C,
413,520,32.0,5.7,816.5627625210591,381.0,412.55,0.636815715664709,0.20091535829221574,0.6049795018258946,2.4958429347827282,,,,0.0,0.636815715664709,388.0,2016.0,,,,C,2016 - Dirty
439,445,26.9,5.7,686.4230722442652,412.55,439.25,0.6482882321322173,0.17309295797930194,0.6076120416077474,2.6689358927620304,,,,0.0,0.6482882321322172,,,,,,C,
467,445,27.5,5.7,701.7336240415352,439.25,466.75,0.6341437616129688,0.17438953444356642,0.6091752388228381,2.843325427205597,,,,0.0,0.6341437616129688,,,,,,C,
497,520,30.5,5.7,778.2863830278844,466.75,506.75,0.6681345213531372,0.2672538085412549,0.6138291535760931,3.110579235746852,,,,0.0,0.6681345213531372,480.0,,,,,C,? - non planar bedding
543,450,26.5,5.7,676.216037712752,506.75,543.0,0.6654678015654433,0.2412320780674732,0.6172764850486786,3.351811313814325,,,,0.0,0.6654678015654433,,,,,,C,
589,750,46.0,5.7,1173.8089711240223,543.0,589.3,0.6389455341117481,0.2958317822937391,0.6189789743947165,3.647643096108064,,,,0.0,0.638945534111748,,,,,,C,
621,520,31.4,5.7,801.2522107237892,589.3,620.75,0.6489841688302767,0.20410552109712232,0.6204991731301146,3.8517486172051862,,,,0.0,0.6489841688302768,,,,,,C,
649,470,28.5,5.7,727.2512103703182,620.75,649.05,0.6462691203506898,0.18289416105924491,0.6216227992087561,4.034642778264431,,,,0.0,0.6462691203506898,,,,,,C,
674,415,24.9,5.7,635.3878995866991,649.05,671.5,0.6531443237586758,0.146630900683823,0.6226766461575955,4.181273678948254,,,,0.0,0.6531443237586758,673.0,2015.0,,,,C,2015 - Dirty
694,415,25.0,5.7,637.9396582195774,671.5,694.0,0.6505317464636411,0.14636964295431926,0.6235797293807742,4.327643321902573,,,,0.0,0.6505317464636412,,,,,,C,
724,560,30.0,5.7,765.5275898634928,694.0,723.8,0.731521642609717,0.21799344949769534,0.6280238700470114,4.545636771400268,,,,0.0,0.731521642609717,,,,,,C,
751,455,27.4,5.7,699.1818654086568,723.8,751.25,0.6507605853507975,0.1786337806787942,0.6288546491952163,4.724270552079062,,,,0.0,0.6507605853507974,713.0,2014.0,,,,C,2014 - Dirty
776,405,24.5,5.7,625.1808650551858,751.25,776.1,0.6478125333606459,0.16098141454012066,0.6294616630098161,4.885251966619183,,,,0.0,0.6478125333606459,,,,,,C,
814,625,37.8,5.7,964.564763228001,776.1,813.85,0.6479606386494801,0.24460514109017872,0.6303197281697317,5.129857107709362,,,,0.0,0.6479606386494801,,,,,,C,
