SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
10.0,415,10.0,,966.0,0.0,15.0,0.42960662525879917,0.06444099378881987,0.42960662525879917,0.06444099378881987,,,,0.0,0.4296066252587991,,,,,,P,
30.0,365,10.0,,966.0,15.0,35.0,0.3778467908902691,0.07556935817805382,0.4000295770482105,0.1400103519668737,,,,0.0,0.37784679089026907,,,,,,P,
50.0,325,10.0,,966.0,35.0,55.0,0.3364389233954451,0.06728778467908902,0.37690570299265946,0.20729813664596272,,,,0.0,0.3364389233954451,,,,,,P,
70.0,325,10.0,,966.0,55.0,75.0,0.3364389233954451,0.06728778467908902,0.36611456176673574,0.2745859213250518,,,,0.0,0.3364389233954451,,,,,,P,
90.0,330,10.0,,966.0,75.0,95.0,0.3416149068322981,0.06832298136645962,0.3609567396752752,0.3429089026915114,,,,0.0,0.34161490683229806,,,,,,P,
110.0,335,10.0,,966.0,95.0,129.75,0.34679089026915116,0.12050983436853002,0.35716280312912635,0.46341873706004144,,,,0.0,0.34679089026915116,,,,,,P,
162.5,142,13.0,5.7,331.7286222741803,129.75,162.5,0.42806074141722444,0.14018989281414101,0.37145146453795846,0.6036086298741825,,,,0.0,0.42806074141722444,,,,,,C,
180.75,228,18.25,5.7,465.6959505002915,162.5,180.75,0.48958982734348966,0.08935014349018687,0.383379680976138,0.6929587733643694,,,,0.0,0.48958982734348966,,,,,,C,
223.25,438,42.5,5.7,1084.4974189732816,180.75,223.25,0.4038737136088941,0.17164632828378001,0.3872811205590815,0.8646051016481494,,,,0.0,0.4038737136088941,,,,,,C,
236.0,148,12.75,5.7,325.3492256919845,223.25,235.25,0.4548958113707483,0.05458749736448979,0.3907301164772111,0.9191925990126392,,,,0.0,0.4548958113707483,,,,,,C,
272.25,405,37.75,5.7,963.2888839115618,235.25,272.25,0.4204346243002867,0.15556081099110608,0.3947670927470138,1.0747534100037452,,,,0.0,0.4204346243002867,,,,,,C,
321.0,533,48.75,5.7,1243.9823335281758,272.25,321.25,0.4284626763856914,0.2099467114289888,0.3999066525860651,1.284700121432734,,,,0.0,0.42846267638569147,,,,,,C,
361.5,455,40.0,5.7,1020.7034531513239,321.25,361.5,0.44577100096529626,0.17942282788853173,0.4050132639892851,1.4641229493212657,,,,0.0,0.44577100096529615,,,,,,C,
406.0,530,44.5,5.7,1135.532591630848,361.5,405.875,0.4667413369781098,0.20711646828403624,0.41176209857845447,1.671239417605302,,,,0.0,0.4667413369781099,,,,,,C,
432.5,315,26.75,5.7,682.5954342949478,405.875,432.5,0.4614739334220177,0.12286743477361223,0.41482239361362183,1.7941068523789143,,,,0.0,0.4614739334220178,,,,,,C,
460.0,333,27.5,5.7,701.7336240415352,432.5,460.0,0.4745390395890306,0.13049823588698342,0.4183924104925865,1.9246050882658978,,,,0.0,0.4745390395890306,,,,,,C,
490.0,365,30.0,5.7,765.5275898634928,460.0,490.125,0.4767953563438334,0.1436346010985798,0.4219820840325381,2.0682396893644777,,,,0.0,0.4767953563438334,,,,,,C,
517.0,328,26.75,5.7,682.5954342949478,490.125,517.0,0.48051888940451365,0.12913945152746303,0.4250249788959266,2.1973791408919405,,,,0.0,0.4805188894045136,,,,,,C,
544.0,325,27.0,5.7,688.9748308771435,517.0,544.0,0.4717153449368215,0.1273631431329418,0.427342331622221,2.3247422840248824,,,,0.0,0.4717153449368215,,,,,,C,
572.0,345,28.0,5.7,714.4924172059267,544.0,570.875,0.4828602679215925,0.12976869700392799,0.42995594149836835,2.45451098102881,,,,0.0,0.4828602679215926,,,,,,C,
595.75,320,26.0,5.7,663.4572445483606,570.875,595.75,0.48232196216025286,0.11997758808736289,0.43214243711559763,2.574488569116173,,,,0.0,0.48232196216025286,,,,,,C,
624.0,363,28.25,5.7,720.8718137881225,595.75,624.0,0.503556933503149,0.1422548337146396,0.4353755453254507,2.7167434028308124,,,,0.0,0.5035569335031491,,,,,,C,
