time,BDOT,RAIN,TS,SMELT,SUBLIM
1980-04-15,0.3901925734047302,0.0,251.25416666666663,0.0,0.0
1980-04-16,3.26653822729984,0.0,248.64999999999998,0.0019730112963092126,0.0
1980-04-17,0.6541162504900744,0.0,254.18124999999998,0.7572952074280691,0.0
1980-04-18,1.9745285461899216,0.0,248.74374999999998,1.1078627040134796,0.0
1980-04-19,3.6242838608661625,0.0,258.86875,0.758160514007257,0.0
1980-04-20,12.728513090910711,0.0,257.4208333333333,0.1384604992559506,0.0
1980-04-21,26.183747677992287,0.0,256.5145833333333,0.0003920432140519617,0.0
1980-04-22,23.466949961969515,0.0,256.7645833333333,0.0,0.0
1980-04-23,9.343563724319393,0.0,256.0458333333333,0.006443603886070914,0.0
1980-04-24,1.1597342923943135,6.776263578034403e-18,259.00416666666666,0.6871113413534672,0.0
1980-04-25,2.56320215658312,0.0,259.6083333333333,0.9898473917819132,0.0
1980-04-26,13.978386261531185,0.0,260.6395833333333,0.33829411985124064,0.0
1980-04-27,0.11189429086902615,0.0,259.2645833333333,1.5396229128366197,0.0
1980-04-28,4.400204558491897,0.0,260.61875,1.2819826648603674,0.0
1980-04-29,4.72374931923701,0.0,261.05625,1.1622874597476949,0.0
1980-04-30,2.386616131975718,0.0,259.55625,2.516981282983424,0.0
1980-05-01,1.2735234995970934,1.3552527156068805e-17,264.49375,3.0565414031315155,0.0
1980-05-02,13.64193845783546,0.0,261.1708333333333,0.747328467587058,0.0
1980-05-03,15.906464374453497,5.421010862427522e-17,258.4833333333333,0.27385960312131685,0.0
1980-05-04,0.4815979976437955,0.0,254.01458333333332,1.198360299867772,0.0
1980-05-05,0.02337716777265528,0.0,265.5145833333333,3.662056044257075,0.0
1980-05-06,17.305235767996102,0.0,265.56666666666666,1.7622455662386878,0.0
1980-05-07,7.335241615140427,0.0,264.275,2.197675320407975,0.0
1980-05-08,16.790138012794547,0.0,264.4625,0.41543106480473846,0.0
1980-05-09,12.65683777133403,0.0,260.99375,0.7705655879220736,0.0
1980-05-10,47.18867651567096,0.0,259.12916666666666,0.00017095975293280775,0.0
1980-05-11,31.824326505407814,0.0,259.19166666666666,5.431815985128761e-06,0.0
1980-05-12,4.4966462999916805,0.0,259.2333333333333,0.865621642134736,0.0
1980-05-13,0.9319889166083098,0.0,260.81666666666666,1.1608818768602016,0.0
1980-05-14,9.089592605595662,0.0,261.3375,1.0538757642185206,0.0
1980-05-15,9.235194840704581,0.0,260.00416666666666,0.8130732638616561,0.0
1980-05-16,1.1113453543951086,0.0,262.1708333333333,1.793715127542078,0.0
1980-05-17,26.406028861323726,0.0,260.30625,0.47516936500842866,0.0
1980-05-18,36.75383535462759,2.1684043449710089e-16,262.06666666666666,0.002705470335904179,0.0
1980-05-19,9.124019288931013,5.421010862427522e-17,267.2333333333333,2.247402355845874,0.0
1980-05-20,49.79979415203998,0.0,267.15,0.2314431435689727,0.0
1980-05-21,32.46865851120616,0.0,263.4833333333333,0.47534242193165965,0.0
1980-05-22,11.391837320017512,1.0842021724855044e-16,262.2333333333333,0.38330378414996175,0.0
1980-05-23,15.261930456249248,0.0,261.97291666666666,0.3294471459211657,0.0
1980-05-24,17.01586340327369,0.0,264.0770833333333,0.29890460763478655,0.0
1980-05-25,11.114514808940585,0.0,264.80625,0.5992659685803651,0.0
1980-05-26,15.824277095547734,2.1684043449710089e-16,263.87916666666666,0.4649851293222674,0.0
1980-05-27,9.092484564802641,0.0,267.53541666666666,5.800294118758858,0.0
1980-05-28,21.740842756686035,0.0,268.50416666666666,0.8177273548255055,0.0
1980-05-29,7.450449341806447,0.0,263.72291666666666,0.9950481233900154,0.0
1980-05-30,25.91751634339901,0.0,266.25416666666666,0.3382032469102335,0.0
1980-05-31,26.03651557863574,0.0,262.8583333333333,0.389448236404641,0.0
1980-06-01,17.769664810808937,0.0,265.72291666666666,1.4041259656843672,0.0
1980-06-02,47.38465780783016,0.0,267.0458333333333,0.08905360573099207,0.0
1980-06-03,7.261603016445315,0.0,272.53541666666666,5.143680518501122,0.0
1980-06-04,0.43241470657766995,0.021150646039149887,271.9625,18.567116884665893,0.0
1980-06-05,35.01993241438086,8.673617379884035e-16,273.15,13.7100971912127,0.0
1980-06-06,39.16987941417681,0.07737460391991176,272.99375,3.579091350027584,0.0
1980-06-07,21.910279656475034,1.0842021724855044e-16,268.99375,0.9433270999476384,0.0
1980-06-08,1.4557354873692319,0.0,267.22291666666666,4.837391148938749,0.0
1980-06-09,1.1174041856835892,0.0,268.275,15.68658078500506,0.0
1980-06-10,33.688380939500135,5.421010862427522e-17,268.68125,0.7714495461146137,0.0
1980-06-11,15.036159607698501,0.0,268.4833333333333,0.6874890048237836,0.0
1980-06-12,8.228559431718532,0.0,268.55625,4.799690969507151,0.0
1980-06-13,15.877443464464577,1.3552527156068805e-17,270.3375,2.537539198505192,0.0
1980-06-14,5.381493022641644,0.0,268.93125,13.230923691783593,0.0
1980-06-15,7.586727136550108,0.0,271.2958333333333,19.042112061370304,0.0
1980-06-16,2.0362487830327334,0.0,269.05625,27.545245755877815,0.0
1980-06-17,45.44879487351218,0.0,268.49375,7.329872641129304,0.0
1980-06-18,64.84688536883156,1.0842021724855044e-16,269.8375,0.6314890830125359,0.0
1980-06-19,26.68122061019065,0.0,268.34791666666666,0.5851188948008582,0.0
1980-06-20,55.916914053191434,0.0,264.00416666666666,0.00019401418594750992,0.0
1980-06-21,12.734972813655913,0.0,265.84791666666666,0.8359973086381302,0.0
