time,BDOT,RAIN,TS,SMELT,SUBLIM,SRHO
6/29/1980,101.9958331,30.65296597,272.6395833,9.304824482,0,229.9790866
6/30/1980,30.56453275,0.36986799,271.6916667,7.383924893,0,147.8814997
7/1/1980,0.937779332,0.141458307,270.9,25.91233635,0,164.0040584
7/2/1980,7.88E-06,0.157213034,268.8166667,38.64065759,0,215.7168971
7/3/1980,1.609323633,11.24619863,271.9208333,11.39173147,0,266.7923764
7/4/1980,5.333923213,1.304881435,272.0354167,26.75658918,0,288.7875973
7/5/1980,0.000162232,0.420898544,269.3791667,24.02844909,0,332.1945032
7/6/1980,1.776923517,7.499523194,273.15,16.84396179,0,350.944064
7/7/1980,2.194970022,11.82310576,273.0458333,10.82025425,0,357.556037
7/8/1980,6.147403893,21.47236148,272.7125,6.816282359,0,354.581173
7/9/1980,0.732043016,8.028399046,270.0770833,15.21762092,0,361.2300989
7/10/1980,10.66714337,2.331371513,272.025,11.54902568,0,341.5270972
7/11/1980,7.79158822,2.943321276,272.4729167,11.84195591,0,346.6265399
7/12/1980,13.16791681,13.40757786,273.15,10.70331465,0,337.1984741
7/13/1980,1.482500489,11.91510024,272.8583333,12.39225891,0,353.6754227
7/14/1980,1.386053875,3.560368006,272.6708333,18.88714323,0,368.5366231
7/15/1980,0.246282167,19.2130014,271.9520833,16.7585664,0,375.5014673
7/16/1980,4.698419198,110.9624939,273.15,11.46259789,0,374.6109665
7/17/1980,10.51358958,28.97076352,273.1395833,10.99136415,0,338.4854753
7/18/1980,1.065482636,2.710275407,271.55625,15.96016419,0,406.9258809
7/19/1980,0.48803564,5.29207242,270.5875,16.54039555,0,450.2508637
7/20/1980,0.000174434,2.936950172,269.2333333,18.39443402,0,463.483362
7/21/1980,0.000153391,0.166811322,269.3375,17.9758687,0,478.7119197
7/22/1980,0,4.633650361,271.275,21.49805467,0,489.4333474
7/23/1980,9.78E-05,0.19111577,269.8166667,19.77038213,0,495.562012
7/24/1980,0,6.261616805,270.0354167,17.77774741,0,509.1723557
7/25/1980,0,4.890749888,273.15,15.28067055,0,524.1468774
7/26/1980,8.093636913,4.93667765,272.7958333,13.59154414,0,490.0178721
7/27/1980,4.700548022,26.20747598,272.8166667,9.996537402,0,513.5913581
7/28/1980,18.99229683,8.376763924,272.5145833,3.070243923,0,419.071355
7/29/1980,5.878443084,5.55907803,271.7854167,3.208613924,0,396.9525333
7/30/1980,19.0269023,5.353947889,272.2229167,4.502211638,0,298.4580099
7/31/1980,0.600775311,1.536214813,269.36875,19.94692852,0,320.3961544
8/1/1980,0.320408393,0.716344904,267.36875,12.29672347,0,386.254495
8/2/1980,4.138077892,3.156894634,268.2645833,4.714041875,0,401.8238601
8/3/1980,7.584699099,3.494964517,271.9,7.354978848,0,371.026556
8/4/1980,3.566833226,1.049172134,271.7854167,8.925960826,0,376.3319263
8/5/1980,0.002817659,0.006254953,269.9104167,16.05880936,0,394.255303
8/6/1980,0,3.938160074,272.2541667,18.92456581,0,408.7970938
8/7/1980,1.647913507,17.11557923,273.15,13.6099259,0,429.4088885
8/8/1980,9.543737389,3.962143679,272.74375,9.435486638,0,423.8596629
8/9/1980,0.681652823,3.042857717,271.9208333,8.546525864,0,459.7544659
8/10/1980,0.300132215,0.527625816,271.93125,18.65484561,0,471.3714703
8/11/1980,0,3.97E-05,269.8583333,18.36613585,0,487.6728568
8/12/1980,0,2.027918208,270.7854167,16.81107077,0,508.7812702
8/13/1980,49.88479493,68.05971397,272.7333333,6.921725007,0,438.2531053
8/14/1980,43.33615744,0.186400577,271.775,0.81574362,0,150.8219151
8/15/1980,2.586651438,0.746861661,269.7229167,1.076200558,0,146.978354
8/16/1980,25.76457111,0,271.2333333,0.289077711,0,150.8398196
8/17/1980,10.41827095,2.203813778,270.43125,3.98584613,0,148.7272105
