time,BDOT,RAIN,TS,SMELT,SUBLIM,SRHO
6/28/1980,0,31.73297683,272.86875,19.53930928,0,397.7120473
6/29/1980,38.51689661,90.71316554,272.7229167,14.77769247,0,320.2854041
6/30/1980,18.12245182,12.0146814,272.3895833,16.43772506,0,200.6279836
7/1/1980,0.812807587,0.238615028,271.275,27.95990615,0,286.6444028
7/2/1980,1.90E-06,0.153166976,269.5041667,25.70821876,0,385.9574335
7/3/1980,0.041601235,12.48259765,271.9729167,10.38222919,0,471.0770767
7/4/1980,2.852673726,3.615030037,272.11875,18.00019867,0,475.7005185
7/5/1980,3.42E-05,0.410174655,269.6291667,23.39305589,0,490.7882879
7/6/1980,0,9.037366285,273.15,20.72195335,0,505.2472738
7/7/1980,0.037179975,13.6196101,273.1291667,13.04825388,0,522.5635344
7/8/1980,0.108862735,26.7990627,272.7229167,9.169831133,0,537.0725727
7/9/1980,0.111130018,8.423530526,270.2229167,16.49655277,0,540.0515819
7/10/1980,4.372592264,8.290913903,272.3583333,12.75255491,0,529.2817576
7/11/1980,4.269013066,6.18922727,272.8791667,17.53798566,0,531.0108973
7/12/1980,0.524115411,25.36645315,273.15,17.9358633,0,540.2834718
7/13/1980,0,13.05230644,272.8583333,13.90536685,0,544.011558
7/14/1980,0,4.818938515,272.6708333,17.39243674,0,550.779705
7/15/1980,0,18.95776247,271.9625,17.17629141,0,555.7563724
7/16/1980,0,112.6800022,273.15,13.25688112,0,561.2392554
7/17/1980,0,38.46672898,273.1395833,12.58037075,0,563.1775203
7/18/1980,0.063231154,3.615214862,271.7229167,18.90633386,0,565.7669818
7/19/1980,0.073138749,5.557999481,270.68125,18.10610564,0,568.2449037
7/20/1980,1.29E-05,2.861413675,269.55625,19.1260632,0,568.900516
7/21/1980,0,0.162552038,269.7229167,15.09868977,0,570.0459217
7/22/1980,0,4.514228007,271.4416667,22.35814104,0,570.6629503
7/23/1980,0,0.186285416,270.3479167,19.47925188,0,572.6256842
7/24/1980,0,6.100237125,270.30625,20.73055961,0,572.9791676
7/25/1980,0,4.764701348,273.1291667,20.5755773,0,572.7042979
7/26/1980,2.305075311,10.38941097,273.0770833,16.8437787,0,565.6784607
7/27/1980,0.003218336,30.10821795,273.1395833,18.42383392,0,575.3689955
7/28/1980,9.674927298,16.98875489,272.7333333,7.180217874,0,545.363894
7/29/1980,2.282701469,8.860042184,271.9833333,5.929842795,0,548.4744514
7/30/1980,12.16050403,11.59198229,272.36875,5.42387835,0,499.9525851
7/31/1980,0.189329953,1.892583855,269.36875,10.77300341,0,513.4758633
8/1/1980,0.196495678,0.813537537,267.61875,11.00217446,0,534.3354729
8/2/1980,1.809710331,5.294912917,269.11875,8.072953824,0,551.9340933
8/3/1980,6.417885327,4.376223833,272.18125,9.517275588,0,526.9467746
8/4/1980,1.85412864,2.642909129,271.9104167,10.48088564,0,537.6994057
