,BDOT,SMELT,RAIN,TS
1980-01-01,75.06658223787004,0.0,0.0,239.94524
1980-02-01,51.13564261292998,0.0,0.0,250.77022
1980-03-01,62.20601321387789,0.0,0.0,251.60866
1980-04-01,82.24992250968623,0.0,0.0,260.10498
1980-05-01,92.12081507403393,0.0,0.0,264.9572
1980-06-01,201.3015844492612,28.788007036512244,24.615143496751596,266.82172
1980-07-01,0.0,403.8256014716727,273.8462469347986,273.15
1980-08-01,179.58811195745545,51.72602853128573,41.9771261189391,265.68616
1980-09-01,155.70667896159327,0.0,0.0,262.35498
1980-10-01,133.77787560827124,0.0,0.0,258.49722
1980-11-01,68.7219747284883,0.0,0.0,251.39278
1980-12-01,63.18453477005063,0.0,0.0,232.27968
1981-01-01,65.42439374734538,0.0,0.0,254.60738
1981-02-01,92.93258246107641,0.0,0.0,249.37944
1981-03-01,41.09993966179436,0.0,0.0,255.17113
1981-04-01,31.386392368453905,0.0,0.0,255.73338
1981-05-01,104.84678485151557,0.0,0.0,265.75647
1981-06-01,241.0500016669394,38.64116692711191,41.29224347514038,266.0842
1981-07-01,48.33542901259319,238.81953544061193,337.5007392409824,266.95404
1981-08-01,296.05261111986226,64.88930127222572,92.29987997014925,266.1697
1981-09-01,156.93196184226807,0.0,0.0,263.11163
1981-10-01,218.36090391742235,0.0,0.0,256.87366
1981-11-01,95.10618032337483,0.0,0.0,247.94815
1981-12-01,48.229521031697324,0.0,0.0,243.88602
1982-01-01,12.581888550069477,0.0,0.0,233.38249
1982-02-01,48.74016180972886,0.0,0.0,242.0815
1982-03-01,84.29865328546116,0.0,0.0,249.35117
1982-04-01,88.88495459564763,0.0,0.0,256.43387
1982-05-01,62.76964398867715,0.0,0.0,263.95016
1982-06-01,187.10485876070064,0.0,0.0,266.8189
1982-07-01,0.0,461.653496326823,236.5395047412933,273.15
1982-08-01,61.46433421918136,143.67121579724468,68.2689166081946,266.59525
1982-09-01,251.6377710013758,0.0,0.0,264.7647
1982-10-01,182.99657902266742,0.0,0.0,250.91344
1982-11-01,69.4033207116701,0.0,0.0,249.11218
1982-12-01,83.18026319212176,0.0,0.0,247.89401
1983-01-01,46.550208236771034,0.0,0.0,240.73427
1983-02-01,24.494888224560643,0.0,0.0,247.76935
1983-03-01,34.66802295110872,0.0,0.0,250.34142
1983-04-01,114.312484626769,0.0,0.0,259.98065
1983-05-01,104.84281134407838,0.0,0.0,264.95425
1983-06-01,68.11444612918217,140.92208233951894,77.85380347115357,266.31296
1983-07-01,0.0,475.5144676536657,263.5049325114487,273.15
1983-08-01,345.00274452957905,0.0,0.0,266.63956
1983-09-01,251.48746617889157,0.0,0.0,261.0088
1983-10-01,238.7620290342467,0.0,0.0,256.01535
1983-11-01,37.202287896286045,0.0,0.0,250.63191
1983-12-01,31.45284340322359,0.0,0.0,243.33658
1984-01-01,123.42896610636788,0.0,0.0,245.20004
1984-02-01,73.35485407585524,0.0,0.0,245.0961
1984-03-01,46.128605679616655,0.0,0.0,255.77495
1984-04-01,56.27419343906302,0.0,0.0,258.5628
1984-05-01,58.1499998870318,0.0,0.0,264.1446
1984-06-01,180.54642128314245,69.70920338962706,64.70625348854233,266.87955
1984-07-01,0.0,326.08418457315815,257.34170623082946,273.15
1984-08-01,134.96277839321283,98.21706358641188,75.83097119727675,264.0402
1984-09-01,69.26054577115471,0.0,0.0,263.9772
1984-10-01,80.23581715181817,0.0,0.0,254.7455
1984-11-01,51.40431131452891,0.0,0.0,245.19864
1984-12-01,142.71911029966174,0.0,0.0,245.36757
1985-01-01,153.47301110075338,0.0,0.0,254.43806
1985-02-01,98.2212842651982,0.0,0.0,240.15677
1985-03-01,102.45511578948272,0.0,0.0,251.27122
1985-04-01,104.29022700394927,0.0,0.0,254.23528
1985-05-01,85.26278394486324,0.0,0.0,263.35944
1985-06-01,291.6338902989809,0.0,0.0,266.5426
1985-07-01,0.0,463.87113936639287,177.37454561644452,273.15
1985-08-01,256.3474520571775,0.0,0.0,266.1935
1985-09-01,248.75451032459475,0.0,0.0,263.483
1985-10-01,78.2740311624973,0.0,0.0,252.91609
1985-11-01,48.831092021304606,0.0,0.0,243.57977
1985-12-01,167.17096655419024,0.0,0.0,253.16457
1986-01-01,101.61772816122037,0.0,0.0,248.39687
1986-02-01,51.76250251989254,0.0,0.0,247.49348
1986-03-01,68.21107474921018,0.0,0.0,247.21712
1986-04-01,69.25714622870612,0.0,0.0,253.53331
1986-05-01,81.76942362354012,0.0,0.0,264.0203
1986-06-01,173.81920489040408,0.0,0.0,266.64847
1986-07-01,0.0,535.9954629733119,233.42724350651605,273.15
1986-08-01,204.35367066259093,0.0,0.0,266.35873
1986-09-01,132.42723858965388,0.0,0.0,263.08478
1986-10-01,185.4838036725437,0.0,0.0,256.9972
1986-11-01,94.68750460955881,0.0,0.0,246.62453
1986-12-01,154.8726861109101,0.0,0.0,252.28484
1987-01-01,175.13462997231585,0.0,0.0,248.93384
1987-02-01,51.1295910173277,0.0,0.0,249.35489
1987-03-01,17.61130357263558,0.0,0.0,248.45467
1987-04-01,66.68488987180599,0.0,0.0,257.77795
1987-05-01,63.875918513446834,0.0,0.0,265.25275
1987-06-01,187.47516706353494,0.0,0.0,266.84293
1987-07-01,0.0,508.6035661403645,301.90806124517263,273.15
1987-08-01,16.751476250451258,226.1436457537011,80.80955465192393,273.15
1987-09-01,286.48802585899426,0.0,0.0,263.57404
1987-10-01,184.35959851036213,0.0,0.0,259.0927
1987-11-01,93.73758353176747,0.0,0.0,251.21889
